epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_penalty,gated/lambda1,gated/lambda2
1,18.0495,1.02438,0.68613,0.93305,17.5849,0.78892,0.84155,0.88445,0.29265,2.23187,2.56937,1.53925,0,6.4e-05,6.4e-05,0.068064,0.0064,-0.0064,0.06,0.00401394,0.00419366,-0.0773327,0.0773319
2,34.6552,1.00124,0.6572,0.92341,13.732,0.9501,0.90301,0.96945,0.71711,0.8366,0.65857,0.89793,0,0.000129373,0.000129373,0.034796,0.0129373,-0.0129373,0.12,0.00404075,0.0337754,-0.275988,0.282106
3,51.097,0.99632,0.64991,0.92485,12.7158,0.9698,0.93335,0.97863,0.7069,0.91365,0.53973,0.91359,0,0.000193426,0.000193426,0.00152676,0.0193426,-0.0193426,0.18,0.00400885,0.105538,-0.531617,0.560563
4,67.4625,0.98375,0.63983,0.92334,11.4826,0.95994,0.95877,0.98242,0.74357,0.81842,0.50904,0.89384,0,0.00019406,0.00019406,0.00019406,0.019406,-0.019406,0.24,0.00393826,0.255763,-0.891461,0.962892
5,83.8124,1.01777,0.65458,0.93134,10.5908,0.96764,0.95926,0.9832,0.74487,0.81304,0.49603,0.90103,0,0.00019208,0.00019208,0.00019208,0.019208,-0.019208,0.3,0.00386625,0.473485,-1.23609,1.35517
6,100.164,0.98975,0.63,0.9291,9.52992,0.96522,0.95539,0.98412,0.7388,0.80922,0.49644,0.89534,0,0.0001901,0.0001901,0.0001901,0.01901,-0.01901,0.3,0.00379327,0.616822,-1.59696,1.76036
7,116.873,0.98588,0.63462,0.93173,8.52622,0.95995,0.95814,0.98248,0.74915,0.80676,0.49912,0.89765,0,0.00018812,0.00018812,0.00018812,0.018812,-0.018812,0.3,0.0037431,0.740273,-1.90934,2.10323
8,134.178,0.99105,0.64492,0.92934,7.76188,0.97152,0.96084,0.98478,0.75439,0.7969,0.47346,0.89306,0,0.00018614,0.00018614,0.00018614,0.018614,-0.018614,0.3,0.00371952,0.865734,-2.22861,2.44739
9,151.19,0.9941,0.63423,0.92303,7.1204,0.97013,0.95837,0.9839,0.74835,0.82132,0.4897,0.8985,0,0.00018416,0.00018416,0.00018416,0.018416,-0.018416,0.3,0.00374301,0.97547,-2.50935,2.74604
10,168.22,0.98019,0.61804,0.92519,6.43946,0.9675,0.95555,0.98259,0.74004,0.84033,0.50564,0.90577,0,0.00018218,0.00018218,0.00018218,0.018218,-0.018218,0.3,0.00383773,1.08897,-2.80146,3.05375
11,185.156,0.9725,0.613,0.92539,5.97396,0.96616,0.96605,0.98441,0.76005,0.77847,0.4753,0.88881,0,0.0001802,0.0001802,0.0001802,0.01802,-0.01802,0.3,0.00403839,1.18934,-3.06192,3.32609
12,202.099,1.01949,0.64137,0.92911,5.67221,0.96924,0.95631,0.98551,0.76115,0.77893,0.47269,0.88648,0,0.00017822,0.00017822,0.00017822,0.017822,-0.017822,0.3,0.00445249,1.29337,-3.33562,3.61053
13,218.648,1.00295,0.61923,0.92758,5.32772,0.97251,0.95954,0.9863,0.76033,0.7837,0.46228,0.88854,0,0.00017624,0.00017624,0.00017624,0.017624,-0.017624,0.3,0.00513464,1.38463,-3.58133,3.86453
14,235.343,0.97177,0.60782,0.92336,5.06322,0.96639,0.96717,0.98309,0.7636,0.76245,0.46191,0.88199,0,0.00017426,0.00017426,0.00017426,0.017426,-0.017426,0.3,0.00645128,1.47664,-3.84065,4.13116
15,252.207,0.97825,0.61569,0.91654,4.76788,0.97212,0.96246,0.98388,0.74037,0.82726,0.47908,0.8997,0,0.00017228,0.00017228,0.00017228,0.017228,-0.017228,0.3,0.00845799,1.55311,-4.07392,4.36955
16,268.583,0.97756,0.60174,0.9206,4.57932,0.97502,0.95705,0.98349,0.75061,0.8393,0.50411,0.90185,0,0.0001703,0.0001703,0.0001703,0.01703,-0.01703,0.3,0.0113981,1.6263,-4.32005,4.61919
17,285.397,0.95313,0.59416,0.91546,4.36826,0.97166,0.96041,0.98321,0.74497,0.83247,0.48673,0.89645,0,0.00016832,0.00016832,0.00016832,0.016832,-0.016832,0.3,0.0144694,1.68001,-4.52284,4.82306
18,302.164,0.96246,0.59568,0.91763,4.25535,0.96557,0.96846,0.98662,0.7625,0.77821,0.45842,0.88973,0,0.00016634,0.00016634,0.00016634,0.016634,-0.016634,0.3,0.0183169,1.73662,-4.756,5.05506
19,318.891,0.94151,0.58525,0.91391,4.06387,0.9635,0.9713,0.98475,0.73203,0.88164,0.50036,0.91065,0,0.00016436,0.00016436,0.00016436,0.016436,-0.016436,0.3,0.0217323,1.78502,-4.96526,5.26096
20,335.598,0.94632,0.5786,0.91398,3.90225,0.96667,0.96888,0.98464,0.75881,0.78178,0.46123,0.88821,0,0.00016238,0.00016238,0.00016238,0.016238,-0.016238,0.3,0.0249232,1.8369,-5.1859,5.47578
21,352.11,0.94895,0.5839,0.9158,3.82029,0.96718,0.96055,0.98159,0.6863,0.99754,0.52368,0.93654,0,0.0001604,0.0001604,0.0001604,0.01604,-0.01604,0.3,0.0275004,1.88407,-5.38448,5.66734
22,368.855,0.95798,0.59989,0.91481,3.66556,0.97133,0.96005,0.98426,0.76127,0.76614,0.45271,0.88056,0,0.00015842,0.00015842,0.00015842,0.015842,-0.015842,0.3,0.0298352,1.93571,-5.59462,5.8685
23,385.66,0.93279,0.58136,0.90423,3.58163,0.97927,0.96078,0.98682,0.7699,0.75869,0.43593,0.8826,0,0.00015644,0.00015644,0.00015644,0.015644,-0.015644,0.3,0.0315097,1.98499,-5.78444,6.04913
24,402.283,0.94471,0.56406,0.91004,3.45234,0.96062,0.97164,0.9808,0.62405,1.20741,0.54904,0.98442,0,0.00015446,0.00015446,0.00015446,0.015446,-0.015446,0.3,0.0330966,2.03807,-5.98604,6.24011
25,419.258,0.97117,0.5668,0.91235,3.36817,0.97514,0.95842,0.98068,0.72888,0.86994,0.46225,0.9012,0,0.00015248,0.00015248,0.00015248,0.015248,-0.015248,0.3,0.0341705,2.0887,-6.16869,6.41257
26,435.851,0.91346,0.56173,0.90284,3.20968,0.97388,0.96639,0.98679,0.76325,0.7654,0.44563,0.88497,0,0.0001505,0.0001505,0.0001505,0.01505,-0.01505,0.3,0.0352256,2.14307,-6.36314,6.5958
27,452.464,0.93418,0.56902,0.90576,3.15408,0.97172,0.95987,0.98109,0.73032,0.8743,0.47457,0.90261,0,0.00014852,0.00014852,0.00014852,0.014852,-0.014852,0.3,0.0360924,2.19264,-6.53965,6.76186
28,469.038,0.91668,0.55669,0.90456,3.06078,0.96915,0.96227,0.98355,0.75645,0.78067,0.44158,0.88467,0,0.00014654,0.00014654,0.00014654,0.014654,-0.014654,0.3,0.0368768,2.24646,-6.72776,6.93866
29,485.792,0.91894,0.56073,0.9062,3.0188,0.97657,0.96334,0.98424,0.76617,0.74487,0.44368,0.87943,0,0.00014456,0.00014456,0.00014456,0.014456,-0.014456,0.3,0.0374824,2.29608,-6.89865,7.09918
30,502.347,0.92451,0.56759,0.90788,2.93919,0.97455,0.96507,0.98391,0.76029,0.78535,0.44177,0.88962,0,0.00014258,0.00014258,0.00014258,0.014258,-0.014258,0.3,0.0380026,2.3501,-7.08092,7.27035
31,519.093,0.95349,0.56065,0.90582,2.87258,0.97197,0.96073,0.98039,0.74963,0.79146,0.44236,0.88713,0,0.0001406,0.0001406,0.0001406,0.01406,-0.01406,0.3,0.0384031,2.3997,-7.24661,7.42598
