epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,479.222,1.29894,1.03311,1.02352,0.87459,0.80002,0.89731,0.60205,1.12993,0.88707,1.00096,0.000643101,0.000643101,0.000643101
43,490.886,1.24656,1.01098,1.01352,0.87544,0.81332,0.8985,0.55804,1.30014,0.88394,1.063,0.000628101,0.000628101,0.000628101
44,502.05,1.23215,0.98788,1.00703,0.87528,0.81993,0.90027,0.61122,1.14533,0.86779,1.0108,0.000612981,0.000612981,0.000612981
45,514.083,1.28307,0.99464,1.0209,0.87406,0.83464,0.89775,0.54582,1.31813,0.87128,1.07458,0.000597754,0.000597754,0.000597754
46,525.273,1.23675,0.97626,1.00615,0.90036,0.79302,0.90204,0.60681,1.12583,0.85795,1.00251,0.000582435,0.000582435,0.000582435
47,536.241,1.22043,0.95406,1.00351,0.87058,0.80907,0.89583,0.58291,1.20081,0.86167,1.03015,0.00056704,0.00056704,0.00056704
48,547.459,1.26229,0.95785,1.00714,0.88731,0.83379,0.90815,0.60598,1.14035,0.82277,1.00652,0.000551584,0.000551584,0.000551584
49,558.612,1.23356,0.95338,1.00216,0.8874,0.83707,0.90838,0.58931,1.20604,0.83933,1.04022,0.000536081,0.000536081,0.000536081
50,569.641,1.21768,0.94773,1.00338,0.8795,0.82323,0.90653,0.61227,1.14474,0.8509,1.01026,0.000520548,0.000520548,0.000520548
51,580.395,1.18286,0.9257,0.99339,0.85851,0.82603,0.90411,0.55218,1.31388,0.86263,1.07085,0.000505,0.000505,0.000505
52,591.667,1.19009,0.90498,0.99041,0.86805,0.84115,0.90586,0.48721,1.57295,0.87642,1.16169,0.000489452,0.000489452,0.000489452
53,602.705,1.19561,0.89915,1.00135,0.90833,0.85059,0.92529,0.62851,1.11686,0.783,0.99283,0.000473919,0.000473919,0.000473919
54,614.29,1.19831,0.90422,0.99093,0.92374,0.81857,0.91634,0.60701,1.14538,0.80766,0.99968,0.000458416,0.000458416,0.000458416
