model,precision,recall,mAP50,mAP50-95,forward_latency_ms,e2e_latency_ms,fps,engine_size_mb,scope
Baseline FP16 current,0.9675325947571839,0.9617830426294427,0.9836192902988321,0.7871632933518187,1.7259196047962178,4.537730995070888,220.3744561073035,7.476772308349609,existing matched FP16 profiler
P30 FP16 current,0.9630053238239128,0.92858358993507,0.9770030959914364,0.7561045923770547,1.774345244775759,4.449542064903653,224.74222861890243,5.482402801513672,existing matched FP16 profiler
"P30 FP16 reused runtime, graph off",0.9630053238239128,0.92858358993507,0.9770030959914364,0.7561045923770547,1.8134338999880129,8.263969039835501,121.00722971971656,5.482402801513672,custom runtime ablation
"P30 FP16 reused runtime, CUDA Graph",0.9630053238239128,0.92858358993507,0.9770030959914364,0.7561045923770547,1.7169820348499343,8.276779495099618,120.81993975942743,5.482402801513672,custom runtime ablation
"P30 INT8 PTQ, graph off",0.9439337102207302,0.9208328000844466,0.9697811627117479,0.6111853039875624,1.9046657249418786,8.733734589841333,114.49855611174087,5.859698295593262,custom runtime ablation
"P30 INT8 PTQ, CUDA Graph",0.9439337102207302,0.9208328000844466,0.9697811627117479,0.6111853039875624,1.96284185461991,8.625244650065724,115.93874035704947,5.859698295593262,custom runtime ablation
