model,stage,pruning_ratio,params,macs,precision,recall,mAP50,mAP50-95,latency_ms,fps,model_size_mb
direct_p30,before_fine_tune,0.30,1452562,1961891200,0.0,0.0,0.0,0.0,10.0112588750,99.8875378693,5.8301887512
direct_p30,after_fine_tune,0.30,1452562,1961891200,0.9532359026,0.9437431976,0.9778818889,0.7503037353,9.8631234402,101.3877607906,3.0141544342
