model,stage,pruning_ratio,params,macs,precision,recall,mAP50,mAP50-95,latency_ms,fps,model_size_mb
direct_p20,before_fine_tune,0.20,1913971,2572161600,0.0,0.0,0.0,0.0,10.8020803301,92.5747605500,7.5980110168
direct_p20,after_fine_tune,0.20,1913971,2572161600,0.9621363400,0.9618648013,0.9818351074,0.7671004007,11.7166163452,85.3488729628,3.8965396881
