epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
39,443.55,1.28633,0.99115,1.02155,3.79198,0.85408,0.82439,0.89091,0.49265,1.48355,0.95347,1.1348,0,0.000687222,0.000687222,0.000687222
40,454.81,1.24917,0.94648,1.00449,3.67273,0.90822,0.82077,0.91256,0.64098,1.0483,0.83069,0.98348,0,0.000672675,0.000672675,0.000672675
41,465.889,1.22837,0.92685,1.00285,3.55556,0.88394,0.83357,0.9146,0.62708,1.09588,0.84182,0.98761,0,0.000657963,0.000657963,0.000657963
42,476.832,1.27011,0.94287,1.01197,3.65447,0.9053,0.82842,0.91352,0.6128,1.12677,0.83784,1.00045,0,0.000643101,0.000643101,0.000643101
43,488.186,1.2296,0.92757,1.00833,3.5444,0.89241,0.83644,0.91446,0.63095,1.0613,0.82043,0.98563,0,0.000628101,0.000628101,0.000628101
44,499.018,1.20638,0.91334,0.99587,3.46377,0.91818,0.82154,0.92059,0.64823,1.05881,0.79644,0.98044,0,0.000612981,0.000612981,0.000612981
45,509.84,1.2244,0.90122,1.00166,3.44198,0.91032,0.84528,0.92587,0.633,1.10284,0.7816,0.98433,0,0.000597754,0.000597754,0.000597754
46,520.976,1.23344,0.89172,0.99759,3.44692,0.88708,0.86592,0.92505,0.63859,1.07322,0.78344,0.9807,0,0.000582435,0.000582435,0.000582435
47,531.97,1.2094,0.86381,0.99536,3.35684,0.88572,0.84836,0.91467,0.58749,1.23312,0.81014,1.03217,0,0.00056704,0.00056704,0.00056704
48,543.857,1.26938,0.8829,1.00612,3.41038,0.90048,0.82852,0.90749,0.5515,1.3056,0.81829,1.06128,0,0.000551584,0.000551584,0.000551584
49,554.934,1.21589,0.87594,0.99113,3.33387,0.90004,0.84746,0.92034,0.58859,1.21305,0.79908,1.03002,0,0.000536081,0.000536081,0.000536081
50,565.817,1.20128,0.86762,0.99596,3.31741,0.89456,0.83603,0.91565,0.63633,1.05582,0.79592,0.97621,0,0.000520548,0.000520548,0.000520548
51,576.996,1.17817,0.85273,0.98316,3.25404,0.88121,0.86149,0.93071,0.66074,1.02892,0.75468,0.966,0,0.000505,0.000505,0.000505
52,588.276,1.17956,0.83982,0.98385,3.21795,0.91877,0.86307,0.93643,0.65402,1.04518,0.73198,0.96893,0,0.000489452,0.000489452,0.000489452
53,599.431,1.17436,0.83177,0.99197,3.14792,0.91011,0.86962,0.93694,0.66852,1.00169,0.7299,0.95875,0,0.000473919,0.000473919,0.000473919
54,611.069,1.17553,0.84491,0.98127,3.18937,0.89426,0.86445,0.92951,0.64483,1.05047,0.73766,0.96845,0,0.000458416,0.000458416,0.000458416
55,622.214,1.16574,0.82348,0.98067,3.13246,0.93709,0.85608,0.94247,0.66999,1.00916,0.69425,0.96316,0,0.00044296,0.00044296,0.00044296
56,633.337,1.17855,0.81241,0.98741,3.15007,0.90507,0.87301,0.93514,0.66112,1.0245,0.71386,0.95885,0,0.000427565,0.000427565,0.000427565
57,644.41,1.18896,0.82876,0.98834,3.18371,0.91931,0.86074,0.93778,0.68061,0.97614,0.70721,0.94608,0,0.000412246,0.000412246,0.000412246
58,654.983,1.18844,0.81858,0.97464,3.14456,0.89531,0.88386,0.93888,0.64884,1.05157,0.72278,0.96572,0,0.000397019,0.000397019,0.000397019
59,665.726,1.14202,0.789,0.97706,3.02678,0.91785,0.88037,0.94079,0.65791,1.04614,0.69683,0.96178,0,0.000381899,0.000381899,0.000381899
60,676.926,1.19767,0.8108,0.98394,3.11352,0.93105,0.86037,0.9429,0.67734,0.98881,0.6837,0.95785,0,0.000366899,0.000366899,0.000366899
61,687.615,1.16173,0.80269,0.97218,3.06471,0.92314,0.88429,0.94401,0.67594,0.98842,0.68202,0.95231,0,0.000352037,0.000352037,0.000352037
62,699.332,1.14884,0.8009,0.97026,3.05004,0.90015,0.89281,0.94684,0.68109,0.97863,0.674,0.94524,0,0.000337325,0.000337325,0.000337325
63,711.051,1.16544,0.80124,0.96953,3.0364,0.92566,0.87769,0.94122,0.61939,1.13972,0.71207,0.98681,0,0.000322778,0.000322778,0.000322778
64,722.121,1.144,0.78307,0.96422,3.02543,0.92048,0.88567,0.95138,0.69822,0.95109,0.6439,0.94267,0,0.000308412,0.000308412,0.000308412
65,733.417,1.153,0.78996,0.97638,3.02163,0.9219,0.87934,0.94684,0.68881,0.96123,0.66051,0.94962,0,0.000294239,0.000294239,0.000294239
66,744.789,1.1071,0.74973,0.96603,2.92237,0.9212,0.87748,0.95042,0.69033,0.9619,0.65276,0.94509,0,0.000280275,0.000280275,0.000280275
67,756.297,1.11982,0.76167,0.9664,2.91136,0.92894,0.87782,0.94711,0.68925,0.966,0.65703,0.94311,0,0.000266532,0.000266532,0.000266532
68,767.423,1.1208,0.75613,0.96349,2.90575,0.92606,0.88046,0.94986,0.70505,0.91006,0.63356,0.93342,0,0.000253024,0.000253024,0.000253024
69,779.184,1.12994,0.75967,0.96459,2.89666,0.91782,0.89333,0.94629,0.68957,0.96055,0.65514,0.94286,0,0.000239766,0.000239766,0.000239766
70,790.181,1.1297,0.75384,0.96058,2.92307,0.95015,0.87247,0.95031,0.70133,0.922,0.642,0.93558,0,0.000226769,0.000226769,0.000226769
71,801.301,1.10922,0.74418,0.95912,2.86691,0.94106,0.88378,0.95331,0.69756,0.94875,0.64038,0.93612,0,0.000214046,0.000214046,0.000214046
72,812.058,1.11032,0.74082,0.96246,2.88392,0.94607,0.8857,0.95408,0.70899,0.9182,0.61417,0.93287,0,0.000201611,0.000201611,0.000201611
73,823.174,1.1065,0.74242,0.96262,2.84594,0.92966,0.88521,0.95123,0.69285,0.96181,0.64171,0.93939,0,0.000189475,0.000189475,0.000189475
74,834.949,1.1288,0.73695,0.96708,2.865,0.93977,0.86717,0.95163,0.68514,0.97869,0.64159,0.94894,0,0.000177651,0.000177651,0.000177651
75,845.349,1.11948,0.74869,0.96214,2.88905,0.94182,0.87976,0.95456,0.67016,1.03379,0.63711,0.95954,0,0.000166149,0.000166149,0.000166149
76,857.298,1.11896,0.73548,0.96593,2.82812,0.93861,0.86776,0.95186,0.70122,0.93912,0.62469,0.93601,0,0.000154982,0.000154982,0.000154982
77,868.245,1.10636,0.73084,0.95873,2.79294,0.94208,0.87846,0.95315,0.69887,0.94108,0.62035,0.93709,0,0.000144161,0.000144161,0.000144161
78,879.276,1.09941,0.74041,0.95012,2.80729,0.93584,0.90255,0.95543,0.69871,0.94669,0.61906,0.93689,0,0.000133695,0.000133695,0.000133695
79,889.873,1.095,0.72551,0.96065,2.78116,0.93011,0.89967,0.95449,0.70682,0.92452,0.61367,0.93181,0,0.000123596,0.000123596,0.000123596
80,901.343,1.13046,0.73377,0.96257,2.82647,0.94697,0.88225,0.95471,0.68566,0.98941,0.62786,0.94472,0,0.000113873,0.000113873,0.000113873
81,912.104,1.12781,0.73291,0.9539,2.8281,0.93093,0.8913,0.95535,0.70428,0.93077,0.61313,0.93209,0,0.000104537,0.000104537,0.000104537
82,923.355,1.10167,0.72906,0.96149,2.78321,0.93321,0.89538,0.95614,0.70524,0.92446,0.605,0.93142,0,9.55951e-05,9.55951e-05,9.55951e-05
83,934.299,1.0953,0.72669,0.95601,2.78254,0.9301,0.89757,0.95666,0.71176,0.9169,0.60616,0.92846,0,8.70577e-05,8.70577e-05,8.70577e-05
84,945.506,1.07643,0.71186,0.94618,2.7642,0.94043,0.88843,0.95595,0.70945,0.91739,0.60507,0.93053,0,7.89327e-05,7.89327e-05,7.89327e-05
85,956.933,1.09959,0.72342,0.95296,2.76881,0.93995,0.88248,0.95611,0.70796,0.91484,0.599,0.92949,0,7.12282e-05,7.12282e-05,7.12282e-05
86,968.374,1.06679,0.71394,0.94918,2.76558,0.94285,0.88636,0.95631,0.70576,0.93394,0.60295,0.93554,0,6.39518e-05,6.39518e-05,6.39518e-05
87,979.686,1.08024,0.71817,0.95034,2.77539,0.93679,0.88853,0.95541,0.70821,0.92159,0.60901,0.93148,0,5.71106e-05,5.71106e-05,5.71106e-05
