name,layer_type,output_precision,output_formats
/model.22/Div_1_output_0 copy,Reformat,FP32,Row major linear FP32
PWN(/model.22/Mul_2),PointWiseV2,FP32,Row major linear FP32
"PWN(PWN(/model.22/cv3.0/cv3.0.0/act/Sigmoid), PWN(/model.22/cv3.0/cv3.0.0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.22/cv3.0/cv3.0.1/conv/Conv + PWN(PWN(/model.22/cv3.0/cv3.0.1/act/Sigmoid), PWN(/model.22/cv3.0/cv3.0.1/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.22/cv3.0/cv3.0.1/conv/Conv + PWN(PWN(/model.22/cv3.0/cv3.0.1/act/Sigmoid), PWN(/model.22/cv3.0/cv3.0.1/act/Mul))",CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.22/cv3.0/cv3.0.2/Conv,CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
Reformatting CopyNode for Input Tensor 0 to /model.22/Reshape_3,Reformat,FP32,Row major linear FP32
/model.22/Reshape_3,NoOp,FP32,Row major linear FP32
/model.22/Reshape_3_copy_output,Reformat,FP32,Row major linear FP32
PWN(/model.22/Sigmoid),PointWiseV2,FP32,Row major linear FP32
