model,pruning_ratio,sparse_learning,epochs_run,optimizer,lr0,lrf,momentum,weight_decay,batch,patience,params,macs,precision,recall,mAP50,mAP50-95,latency_ms,fps,model_size_mb
direct_p10,0.10,false,50,AdamW,0.001,0.01,0.9,0.0005,64,10,2416871,3269461600,0.9647944266,0.9570626861,0.9827348191,0.7773601109,10.4325762600,95.8536007860,4.8541812897
sparse_p10,0.10,true,37,AdamW,0.001,0.01,0.9,0.0005,64,10,2415613,3232802400,0.9590941498,0.9486915310,0.9812432157,0.7631779975,9.7186592400,102.8948515741,4.8503360748
