epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_penalty,gated/lambda1,gated/lambda2
26,437.021,0.89737,0.54391,0.90008,3.079,0.97197,0.96913,0.9865,0.76263,0.76598,0.43557,0.88303,0,0.0001505,0.0001505,0.0001505,0.037625,-0.037625,0.3,0.0432755,5.86242,-17.8832,19.4872
27,453.682,0.91682,0.55155,0.90147,3.00764,0.97422,0.95555,0.98146,0.72462,0.89016,0.47186,0.90599,0,0.00014852,0.00014852,0.00014852,0.03713,-0.03713,0.3,0.0435479,6.01487,-18.3772,19.9875
28,470.247,0.89741,0.54013,0.90133,2.91731,0.96402,0.96558,0.98225,0.74762,0.81717,0.45177,0.89298,0,0.00014654,0.00014654,0.00014654,0.036635,-0.036635,0.3,0.0439381,6.17328,-18.9021,20.5183
29,486.898,0.90106,0.5421,0.90255,2.86907,0.97074,0.96293,0.98462,0.76491,0.74389,0.43745,0.87921,0,0.00014456,0.00014456,0.00014456,0.03614,-0.03614,0.3,0.0441449,6.32008,-19.3776,20.9982
30,503.642,0.90856,0.55121,0.90338,2.7907,0.97276,0.96471,0.9842,0.76016,0.7771,0.43755,0.88682,0,0.00014258,0.00014258,0.00014258,0.035645,-0.035645,0.3,0.0443297,6.4776,-19.8831,21.5078
31,520.427,0.93482,0.54282,0.90227,2.72268,0.95912,0.96855,0.97981,0.75086,0.79051,0.44047,0.88698,0,0.0001406,0.0001406,0.0001406,0.03515,-0.03515,0.3,0.0446797,6.61458,-20.3412,21.9691
32,537.442,0.89728,0.53466,0.9011,2.62936,0.96705,0.96745,0.98066,0.75231,0.78945,0.44148,0.88553,0,0.00013862,0.00013862,0.00013862,0.034655,-0.034655,0.3,0.0452137,6.75386,-20.8283,22.4587
33,554.026,0.88843,0.52686,0.90104,2.5909,0.9672,0.96935,0.98574,0.77761,0.72876,0.41813,0.87582,0,0.00013664,0.00013664,0.00013664,0.03416,-0.03416,0.3,0.0454967,6.8853,-21.2694,22.9014
34,571.167,0.89205,0.53042,0.90189,2.58284,0.97182,0.96081,0.9832,0.76219,0.77441,0.43475,0.88334,0,0.00013466,0.00013466,0.00013466,0.033665,-0.033665,0.3,0.045632,7.03058,-21.7385,23.3714
35,587.72,0.89873,0.53085,0.90316,2.48233,0.96782,0.96636,0.98573,0.76854,0.76786,0.43273,0.88204,0,0.00013268,0.00013268,0.00013268,0.03317,-0.03317,0.3,0.0457332,7.163,-22.1637,23.7972
36,604.238,0.91563,0.53386,0.89717,2.50481,0.96921,0.96572,0.98373,0.69265,0.96293,0.46991,0.91849,0,0.0001307,0.0001307,0.0001307,0.032675,-0.032675,0.3,0.045833,7.30409,-22.6162,24.2501
37,621.09,0.8912,0.52332,0.89387,2.38802,0.96213,0.97164,0.98433,0.76878,0.75,0.41855,0.87921,0,0.00012872,0.00012872,0.00012872,0.03218,-0.03218,0.3,0.0459435,7.43122,-23.0265,24.6606
38,638.142,0.89502,0.52325,0.901,2.37983,0.97498,0.95912,0.98396,0.74481,0.82779,0.44976,0.89781,0,0.00012674,0.00012674,0.00012674,0.031685,-0.031685,0.3,0.0460699,7.56591,-23.4631,25.0971
39,654.673,0.87719,0.52284,0.89578,2.29347,0.96699,0.97468,0.98801,0.78245,0.717,0.40726,0.87355,0,0.00012476,0.00012476,0.00012476,0.03119,-0.03119,0.3,0.0461579,7.68873,-23.8588,25.4926
40,671.772,0.87826,0.51138,0.89606,2.28929,0.97442,0.9642,0.98738,0.77618,0.73468,0.4096,0.87517,0,0.00012278,0.00012278,0.00012278,0.030695,-0.030695,0.3,0.0462322,7.82012,-24.2798,25.9132
41,688.573,0.88026,0.51194,0.89666,2.25727,0.97296,0.96746,0.98236,0.70703,0.93421,0.46705,0.91369,0,0.0001208,0.0001208,0.0001208,0.0302,-0.0302,0.3,0.0463075,7.93888,-24.6613,26.2943
42,705.144,0.88759,0.51887,0.89654,2.22296,0.97761,0.95519,0.98064,0.72399,0.85674,0.4454,0.8981,0,0.00011882,0.00011882,0.00011882,0.029705,-0.029705,0.3,0.0463974,8.06457,-25.0671,26.6995
43,721.892,0.86829,0.50872,0.89683,2.17229,0.97157,0.9634,0.98597,0.7668,0.76078,0.42705,0.87932,0,0.00011684,0.00011684,0.00011684,0.02921,-0.02921,0.3,0.0464699,8.17874,-25.4347,27.0666
44,738.603,0.89186,0.51823,0.89629,2.18329,0.97687,0.96278,0.98458,0.76153,0.7637,0.41716,0.87968,0,0.00011486,0.00011486,0.00011486,0.028715,-0.028715,0.3,0.0465316,8.30057,-25.8255,27.4567
45,755.472,0.87554,0.51666,0.89477,2.06192,0.96749,0.96907,0.98657,0.76754,0.7576,0.41344,0.88071,0,0.00011288,0.00011288,0.00011288,0.02822,-0.02822,0.3,0.0465988,8.41059,-26.1795,27.8099
46,772.146,0.89855,0.52239,0.8994,2.0938,0.96802,0.95895,0.98266,0.7089,0.91953,0.4572,0.90952,0,0.0001109,0.0001109,0.0001109,0.027725,-0.027725,0.3,0.0467225,8.52534,-26.5557,28.1852
47,788.825,0.89623,0.51138,0.90085,2.05917,0.97483,0.96304,0.98408,0.72538,0.8801,0.4437,0.9036,0,0.00010892,0.00010892,0.00010892,0.02723,-0.02723,0.3,0.0469171,8.62583,-26.8961,28.5248
48,805.472,0.87917,0.51352,0.89037,2.06806,0.97157,0.96296,0.98345,0.72946,0.86028,0.439,0.90073,0,0.00010694,0.00010694,0.00010694,0.026735,-0.026735,0.3,0.047268,8.72652,-27.2576,28.885
49,822.561,0.90372,0.52209,0.89747,2.05385,0.97667,0.96687,0.98395,0.77499,0.71711,0.40248,0.87176,0,0.00010496,0.00010496,0.00010496,0.02624,-0.02624,0.3,0.0477433,8.81028,-27.5843,29.2103
50,839.385,0.8606,0.50731,0.89393,2.00785,0.96849,0.96975,0.98621,0.77766,0.72691,0.40436,0.87221,0,0.00010298,0.00010298,0.00010298,0.025745,-0.025745,0.3,0.0482678,8.89708,-27.9306,29.5546
51,856.177,0.86113,0.49886,0.89239,1.95794,0.97135,0.96823,0.98291,0.76582,0.75947,0.4161,0.87921,0,0.000101,0.000101,0.000101,0.02525,-0.02525,0.3,0.0487259,8.9761,-28.2433,29.8649
52,872.956,0.8733,0.51433,0.89355,1.95088,0.9645,0.97307,0.98493,0.74785,0.83499,0.43011,0.89673,0,9.902e-05,9.902e-05,9.902e-05,0.024755,-0.024755,0.3,0.0493304,9.05416,-28.5744,30.193
53,889.81,0.87465,0.51125,0.89573,1.94301,0.97426,0.9651,0.98676,0.77371,0.73968,0.40664,0.87585,0,9.704e-05,9.704e-05,9.704e-05,0.02426,-0.02426,0.3,0.0499443,9.12087,-28.8732,30.4883
54,906.548,0.86973,0.5022,0.89301,1.90573,0.97166,0.96493,0.98356,0.77256,0.73089,0.40648,0.87517,0,9.506e-05,9.506e-05,9.506e-05,0.023765,-0.023765,0.3,0.0506444,9.18841,-29.1892,30.8002
55,923.631,0.855,0.50025,0.88979,1.89615,0.96936,0.9708,0.98658,0.77674,0.71898,0.39832,0.87258,0,9.308e-05,9.308e-05,9.308e-05,0.02327,-0.02327,0.3,0.051186,9.25194,-29.474,31.0806
56,940.218,0.85929,0.49983,0.89512,1.8673,0.9613,0.97386,0.98476,0.75545,0.79509,0.41815,0.88371,0,9.11e-05,9.11e-05,9.11e-05,0.022775,-0.022775,0.3,0.0515292,9.32915,-29.7751,31.3766
57,957.139,0.86979,0.50291,0.89435,1.8663,0.97047,0.96432,0.98374,0.75635,0.78736,0.42196,0.88467,0,8.912e-05,8.912e-05,8.912e-05,0.02228,-0.02228,0.3,0.0517095,9.40452,-30.0465,31.643
58,973.715,0.86558,0.50003,0.88896,1.85231,0.97312,0.96497,0.98343,0.7529,0.81266,0.4181,0.89084,0,8.714e-05,8.714e-05,8.714e-05,0.021785,-0.021785,0.3,0.0518254,9.48781,-30.3336,31.9248
59,990.409,0.85446,0.49869,0.89255,1.80041,0.9652,0.97177,0.9849,0.77304,0.7343,0.39773,0.87683,0,8.516e-05,8.516e-05,8.516e-05,0.02129,-0.02129,0.3,0.0519112,9.56381,-30.5924,32.1787
60,1007.49,0.86103,0.49519,0.89155,1.81866,0.96884,0.96693,0.98412,0.76415,0.75997,0.40925,0.87864,0,8.318e-05,8.318e-05,8.318e-05,0.020795,-0.020795,0.3,0.0519971,9.64435,-30.866,32.4472
