epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_loss,gated/lambda1,gated/lambda2
26,426.71,0.91286,0.56089,0.90279,3.21192,0.97535,0.96432,0.98687,0.76099,0.76978,0.44569,0.88611,0,0.0001505,0.0001505,0.0001505,0.01505,-0.01505,0.1,0.120945,-0.0887818,-4.36646,4.4914
27,442.765,0.93482,0.56867,0.906,3.157,0.97056,0.96014,0.9817,0.72489,0.88543,0.47621,0.90576,0,0.00014852,0.00014852,0.00014852,0.014852,-0.014852,0.1,0.122952,-0.095979,-4.307,4.50555
28,459.021,0.91562,0.55578,0.90439,3.06164,0.96863,0.96139,0.98366,0.75174,0.79671,0.44578,0.88721,0,0.00014654,0.00014654,0.00014654,0.014654,-0.014654,0.1,0.124764,-0.101738,-4.2354,4.52438
29,475.043,0.91909,0.56126,0.90643,3.02035,0.97505,0.96284,0.98393,0.76979,0.74,0.44281,0.87915,0,0.00014456,0.00014456,0.00014456,0.014456,-0.014456,0.1,0.126114,-0.105411,-4.16367,4.54479
30,491.573,0.92428,0.56793,0.90802,2.94116,0.97402,0.96455,0.98354,0.76183,0.77779,0.43764,0.88867,0,0.00014258,0.00014258,0.00014258,0.014258,-0.014258,0.1,0.12723,-0.107598,-4.08102,4.56981
31,507.996,0.95392,0.56019,0.90637,2.87456,0.97241,0.96,0.98019,0.75522,0.78243,0.44155,0.88676,0,0.0001406,0.0001406,0.0001406,0.01406,-0.01406,0.1,0.128062,-0.10863,-4.00114,4.59518
32,524.273,0.91792,0.55221,0.90557,2.75565,0.97097,0.968,0.98529,0.76099,0.76454,0.43277,0.88187,0,0.00013862,0.00013862,0.00013862,0.013862,-0.013862,0.1,0.128872,-0.109074,-3.91154,4.62473
33,540.401,0.90306,0.54339,0.90434,2.74032,0.96765,0.96967,0.985,0.77715,0.7306,0.42492,0.87626,0,0.00013664,0.00013664,0.00013664,0.013664,-0.013664,0.1,0.129558,-0.109062,-3.82649,4.65374
34,556.626,0.91238,0.54842,0.9053,2.731,0.97195,0.95809,0.98333,0.75495,0.80287,0.44686,0.88842,0,0.00013466,0.00013466,0.00013466,0.013466,-0.013466,0.1,0.130168,-0.108403,-3.73216,4.68687
35,573.011,0.91239,0.54518,0.9063,2.6184,0.97486,0.95786,0.98506,0.77211,0.74537,0.42984,0.8783,0,0.00013268,0.00013268,0.00013268,0.013268,-0.013268,0.1,0.130631,-0.107294,-3.64349,4.71881
36,589.189,0.92503,0.54843,0.89932,2.64006,0.96565,0.96716,0.98293,0.69621,0.95253,0.46873,0.91475,0,0.0001307,0.0001307,0.0001307,0.01307,-0.01307,0.1,0.131012,-0.105545,-3.54615,4.75465
37,605.541,0.90497,0.53829,0.89725,2.52288,0.96998,0.96667,0.98466,0.77036,0.7554,0.42159,0.88018,0,0.00012872,0.00012872,0.00012872,0.012872,-0.012872,0.1,0.131324,-0.103699,-3.45548,4.78864
38,621.989,0.90473,0.535,0.90337,2.50297,0.97756,0.9574,0.98397,0.7588,0.7866,0.43465,0.88954,0,0.00012674,0.00012674,0.00012674,0.012674,-0.012674,0.1,0.131658,-0.101596,-3.35664,4.82629
39,638.212,0.89736,0.54092,0.90033,2.44151,0.97133,0.96335,0.98812,0.77837,0.73649,0.41083,0.8764,0,0.00012476,0.00012476,0.00012476,0.012476,-0.012476,0.1,0.131957,-0.0995477,-3.26497,4.86176
40,655.468,0.89437,0.52635,0.89965,2.42269,0.96657,0.97124,0.98765,0.77317,0.74547,0.41456,0.87624,0,0.00012278,0.00012278,0.00012278,0.012278,-0.012278,0.1,0.132274,-0.0972364,-3.16528,4.90092
41,672.262,0.89579,0.52866,0.8997,2.38891,0.97442,0.96807,0.98215,0.7069,0.92654,0.47124,0.91379,0,0.0001208,0.0001208,0.0001208,0.01208,-0.01208,0.1,0.132549,-0.0949837,-3.07303,4.93771
42,688.393,0.89985,0.53313,0.90027,2.35077,0.96945,0.96327,0.98225,0.71585,0.88388,0.45281,0.90423,0,0.00011882,0.00011882,0.00011882,0.011882,-0.011882,0.1,0.132845,-0.092471,-2.97294,4.97819
43,704.861,0.88003,0.52062,0.89938,2.28806,0.97553,0.95986,0.98402,0.76161,0.76606,0.43022,0.88051,0,0.00011684,0.00011684,0.00011684,0.011684,-0.011684,0.1,0.133134,-0.0901354,-2.8805,5.01612
44,723.013,0.9003,0.53117,0.89827,2.31165,0.97457,0.96178,0.98426,0.76783,0.7521,0.41452,0.87742,0,0.00011486,0.00011486,0.00011486,0.011486,-0.011486,0.1,0.133412,-0.0874678,-2.78035,5.05781
45,740.024,0.88955,0.52968,0.8977,2.18608,0.96853,0.97065,0.98641,0.76631,0.77047,0.41719,0.88241,0,0.00011288,0.00011288,0.00011288,0.011288,-0.011288,0.1,0.133634,-0.0848652,-2.68805,5.09676
46,756.739,0.91266,0.53482,0.90216,2.2166,0.96432,0.96654,0.98291,0.71148,0.90961,0.45803,0.90761,0,0.0001109,0.0001109,0.0001109,0.01109,-0.01109,0.1,0.133848,-0.0819538,-2.58835,5.13937
47,774.714,0.91128,0.52298,0.90363,2.17581,0.97001,0.96361,0.98338,0.72761,0.8757,0.44181,0.90292,0,0.00010892,0.00010892,0.00010892,0.010892,-0.010892,0.1,0.134012,-0.0791647,-2.49673,5.179
48,792.737,0.89242,0.52626,0.89355,2.20055,0.97293,0.95974,0.9834,0.74231,0.82966,0.43341,0.89514,0,0.00010694,0.00010694,0.00010694,0.010694,-0.010694,0.1,0.134164,-0.0760743,-2.39809,5.22213
49,810.027,0.9159,0.5369,0.89995,2.17248,0.97749,0.96495,0.98409,0.77451,0.7205,0.40389,0.87197,0,0.00010496,0.00010496,0.00010496,0.010496,-0.010496,0.1,0.134288,-0.0731845,-2.30772,5.26205
50,826.418,0.88007,0.52153,0.89792,2.14314,0.97381,0.9673,0.98487,0.77229,0.74644,0.4101,0.87709,0,0.00010298,0.00010298,0.00010298,0.010298,-0.010298,0.1,0.134409,-0.0700301,-2.21066,5.30534
51,842.571,0.87604,0.51387,0.89501,2.08234,0.96858,0.9702,0.98413,0.77368,0.73556,0.40897,0.87543,0,0.000101,0.000101,0.000101,0.0101,-0.0101,0.1,0.134511,-0.0671091,-2.12193,5.34527
52,859.4,0.89361,0.52904,0.89784,2.07844,0.97235,0.96488,0.98461,0.7678,0.77264,0.41655,0.88405,0,9.902e-05,9.902e-05,9.902e-05,0.009902,-0.009902,0.1,0.134602,-0.0639281,-2.02684,5.38845
53,875.742,0.88898,0.52554,0.89916,2.06532,0.97373,0.96871,0.98655,0.77327,0.73085,0.40714,0.87495,0,9.704e-05,9.704e-05,9.704e-05,0.009704,-0.009704,0.1,0.134676,-0.0609936,-1.94008,5.42818
54,892.504,0.88267,0.5158,0.89553,2.02898,0.97405,0.96066,0.98445,0.76879,0.74094,0.41346,0.87662,0,9.506e-05,9.506e-05,9.506e-05,0.009506,-0.009506,0.1,0.134756,-0.0578394,-1.84727,5.47101
55,908.799,0.86777,0.51244,0.89254,2.01447,0.97112,0.9704,0.98353,0.77412,0.73139,0.40181,0.87458,0,9.308e-05,9.308e-05,9.308e-05,0.009308,-0.009308,0.1,0.134828,-0.0549511,-1.76274,5.51033
56,925.395,0.87194,0.51165,0.89663,1.98267,0.9662,0.97411,0.98476,0.74887,0.81052,0.4202,0.88609,0,9.11e-05,9.11e-05,9.11e-05,0.00911,-0.00911,0.1,0.134896,-0.0518409,-1.67246,5.55266
57,941.684,0.8854,0.51714,0.8972,2.00675,0.96996,0.96761,0.98384,0.76652,0.75866,0.4147,0.88007,0,8.912e-05,8.912e-05,8.912e-05,0.008912,-0.008912,0.1,0.134952,-0.0489943,-1.59035,5.59145
58,958.185,0.87956,0.51021,0.8915,1.97439,0.97372,0.96654,0.985,0.7667,0.76826,0.40538,0.88328,0,8.714e-05,8.714e-05,8.714e-05,0.008714,-0.008714,0.1,0.135004,-0.0459383,-1.50281,5.6331
59,974.723,0.86309,0.51141,0.89449,1.91182,0.96609,0.97284,0.98477,0.77063,0.74251,0.39911,0.87885,0,8.516e-05,8.516e-05,8.516e-05,0.008516,-0.008516,0.1,0.13505,-0.0431539,-1.42333,5.67119
