epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,284.799,1.01205,0.67208,0.93505,0.95153,0.9092,0.96793,0.719,0.92091,0.63487,0.92409,0.0005941,0.0005941,0.0005941
43,291.165,1.00409,0.65533,0.92773,0.95022,0.9204,0.967,0.71818,0.91424,0.61027,0.91959,0.0005842,0.0005842,0.0005842
44,297.486,1.05997,0.70237,0.92992,0.95166,0.91343,0.96662,0.65663,1.07315,0.64368,0.95877,0.0005743,0.0005743,0.0005743
45,303.92,1.16446,0.69618,0.96449,0.96001,0.9343,0.97811,0.7189,0.93751,0.57112,0.92548,0.0005644,0.0005644,0.0005644
46,310.459,1.06445,0.65636,0.93072,0.94336,0.90017,0.97359,0.60774,1.25733,0.70541,1.01021,0.0005545,0.0005545,0.0005545
47,317.213,1.03291,0.67466,0.9316,0.94626,0.94759,0.98235,0.73585,0.8936,0.55386,0.9154,0.0005446,0.0005446,0.0005446
48,323.641,0.98801,0.63555,0.91222,0.94561,0.9357,0.97705,0.66908,1.09249,0.59444,0.95895,0.0005347,0.0005347,0.0005347
49,329.974,1.00657,0.639,0.92524,0.95568,0.93511,0.97216,0.68741,1.01785,0.58144,0.94173,0.0005248,0.0005248,0.0005248
50,336.446,1.01849,0.63199,0.93059,0.93466,0.91762,0.96905,0.61289,1.25886,0.66042,1.00334,0.0005149,0.0005149,0.0005149
51,342.872,0.98855,0.61556,0.91865,0.94705,0.93641,0.97633,0.69566,0.97608,0.56952,0.93306,0.000505,0.000505,0.000505
52,349.268,1.00136,0.62151,0.91337,0.94545,0.92866,0.97126,0.60425,1.30109,0.66607,1.01147,0.0004951,0.0004951,0.0004951
53,355.644,1.02688,0.63158,0.93277,0.96027,0.94022,0.97755,0.73204,0.87497,0.55855,0.91089,0.0004852,0.0004852,0.0004852
54,361.991,0.95281,0.60058,0.9094,0.9581,0.93593,0.9771,0.72434,0.90689,0.56621,0.90824,0.0004753,0.0004753,0.0004753
55,368.426,1.00452,0.63542,0.91719,0.95844,0.94463,0.98078,0.75489,0.84507,0.54331,0.90196,0.0004654,0.0004654,0.0004654
56,375.067,0.96138,0.59624,0.91042,0.96911,0.9387,0.9822,0.75377,0.85637,0.5263,0.90285,0.0004555,0.0004555,0.0004555
57,381.561,0.97947,0.61092,0.9174,0.96362,0.94465,0.97749,0.76609,0.77832,0.51599,0.88898,0.0004456,0.0004456,0.0004456
58,388.034,0.98921,0.6091,0.914,0.97009,0.93921,0.97963,0.75399,0.81479,0.54869,0.89225,0.0004357,0.0004357,0.0004357
59,394.586,0.97391,0.61261,0.91194,0.95773,0.94146,0.98138,0.74562,0.8674,0.52523,0.90663,0.0004258,0.0004258,0.0004258
60,400.975,1.07144,0.65239,0.94103,0.96496,0.93846,0.98212,0.76355,0.79354,0.52817,0.88817,0.0004159,0.0004159,0.0004159
61,407.321,0.97376,0.60235,0.90404,0.96292,0.94344,0.9826,0.73973,0.86688,0.53479,0.90628,0.000406,0.000406,0.000406
62,414.177,0.9784,0.60601,0.91674,0.97017,0.95041,0.98245,0.73264,0.86541,0.51765,0.90347,0.0003961,0.0003961,0.0003961
63,420.56,1.03712,0.61026,0.9305,0.96955,0.93661,0.97769,0.60469,1.34182,0.63338,1.00738,0.0003862,0.0003862,0.0003862
64,426.975,1.09077,0.62999,0.92333,0.95856,0.9592,0.98229,0.63818,1.21802,0.57366,0.9778,0.0003763,0.0003763,0.0003763
65,433.331,0.97115,0.59341,0.91356,0.9762,0.94249,0.98217,0.75301,0.82824,0.50047,0.89897,0.0003664,0.0003664,0.0003664
66,439.693,0.99217,0.5972,0.90886,0.96858,0.93565,0.97812,0.74041,0.87015,0.51823,0.90538,0.0003565,0.0003565,0.0003565
67,446.043,0.904,0.5483,0.90703,0.97124,0.95178,0.98358,0.75487,0.83757,0.48435,0.89348,0.0003466,0.0003466,0.0003466
68,452.447,0.93713,0.56152,0.90016,0.97451,0.95258,0.98577,0.73675,0.90464,0.50314,0.90663,0.0003367,0.0003367,0.0003367
69,458.771,0.92817,0.57875,0.91255,0.9671,0.95388,0.98433,0.7579,0.83913,0.48898,0.89653,0.0003268,0.0003268,0.0003268
70,465.287,0.94462,0.55973,0.90538,0.96358,0.94707,0.98146,0.72507,0.92161,0.50424,0.91404,0.0003169,0.0003169,0.0003169
71,471.517,0.89443,0.54256,0.89488,0.95187,0.95446,0.98441,0.70848,0.95708,0.51654,0.9178,0.000307,0.000307,0.000307
72,477.917,0.8712,0.54384,0.89066,0.96678,0.95287,0.98306,0.67853,1.05608,0.53282,0.9392,0.0002971,0.0002971,0.0002971
73,484.269,0.93186,0.55145,0.90045,0.969,0.93557,0.97647,0.68274,1.00584,0.54254,0.93614,0.0002872,0.0002872,0.0002872
