epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9828,2.21348,4.37594,1.38366,0.00013,0.0104,0.0003,3e-05,3.45418,5.4751,2.05642,0.000307692,0.000307692,0.0695385
2,21.2791,1.62282,1.7774,1.12947,0.04593,0.4449,0.02135,0.00384,3.27404,3.73853,1.97278,0.000628333,0.000628333,0.0365258
3,30.1204,1.37409,1.20407,1.04492,0.05411,0.24706,0.0258,0.0036,3.38342,4.1858,1.97281,0.000935774,0.000935774,0.00349988
4,39.096,1.30289,0.99746,1.02096,0.08402,0.0864,0.02873,0.0036,3.95827,2.68136,2.66082,0.0009406,0.0009406,0.0009406
5,48.0173,1.31168,0.93692,1.01479,0.35895,0.32154,0.23981,0.03776,3.43662,1.90017,2.15875,0.0009208,0.0009208,0.0009208
6,57.0391,1.20477,0.88081,0.98113,0.52731,0.38015,0.31707,0.06634,3.14627,1.65951,1.96789,0.000901,0.000901,0.000901
7,66.2498,1.34866,0.89951,1.01808,0.88642,0.80582,0.89707,0.54226,1.25356,1.05669,1.03451,0.0008812,0.0008812,0.0008812
8,75.4946,1.22361,0.83513,0.99398,0.91456,0.88291,0.93809,0.51848,1.3735,0.80305,1.04784,0.0008614,0.0008614,0.0008614
9,84.8037,1.19253,0.79915,0.97539,0.9126,0.86204,0.94075,0.60375,1.20798,0.7778,1.00349,0.0008416,0.0008416,0.0008416
10,94.0522,1.23273,0.8081,0.9957,0.88908,0.84599,0.90303,0.39664,1.81868,0.90494,1.20933,0.0008218,0.0008218,0.0008218
11,103.354,1.14833,0.76399,0.96136,0.91926,0.88354,0.95039,0.65,1.05169,0.73466,0.95266,0.000802,0.000802,0.000802
12,112.734,1.13236,0.739,0.96084,0.93983,0.87021,0.95202,0.62079,1.19055,0.71647,1.01068,0.0007822,0.0007822,0.0007822
13,122.289,1.11992,0.71614,0.96393,0.92586,0.90506,0.95453,0.67974,0.98872,0.65228,0.94522,0.0007624,0.0007624,0.0007624
14,131.848,1.17476,0.76098,0.96848,0.92657,0.8655,0.93581,0.52272,1.42653,0.77882,1.07653,0.0007426,0.0007426,0.0007426
15,141.215,1.09456,0.70911,0.94635,0.91631,0.92485,0.96333,0.69423,0.94487,0.62597,0.92973,0.0007228,0.0007228,0.0007228
16,150.378,1.112,0.6979,0.95271,0.9628,0.89766,0.96318,0.65756,1.1079,0.62982,0.97709,0.000703,0.000703,0.000703
17,159.579,1.06965,0.69525,0.94056,0.93967,0.89188,0.95172,0.49238,1.65717,0.75671,1.15224,0.0006832,0.0006832,0.0006832
18,168.815,1.09085,0.68904,0.94927,0.9071,0.90208,0.94777,0.46359,1.73437,0.84777,1.2105,0.0006634,0.0006634,0.0006634
19,178.164,1.07822,0.66408,0.94651,0.92226,0.91595,0.95843,0.52884,1.44437,0.71214,1.08338,0.0006436,0.0006436,0.0006436
20,187.608,1.11569,0.67287,0.9544,0.93061,0.91199,0.96391,0.69123,0.9691,0.61638,0.94002,0.0006238,0.0006238,0.0006238
21,196.941,1.05502,0.65143,0.93691,0.93576,0.92365,0.96756,0.61246,1.22232,0.6442,1.00242,0.000604,0.000604,0.000604
22,206.478,1.07453,0.64498,0.94155,0.95075,0.92584,0.97383,0.65191,1.15271,0.58917,0.98519,0.0005842,0.0005842,0.0005842
23,215.739,1.09469,0.66913,0.94639,0.96282,0.93396,0.97553,0.71998,0.93652,0.53916,0.92559,0.0005644,0.0005644,0.0005644
24,225.047,1.06112,0.64588,0.93318,0.96098,0.92757,0.97431,0.70196,1.00151,0.56789,0.94716,0.0005446,0.0005446,0.0005446
25,234.221,1.03023,0.62493,0.9332,0.93962,0.93405,0.97098,0.64278,1.13792,0.58743,0.97465,0.0005248,0.0005248,0.0005248
26,243.588,1.01333,0.60819,0.92543,0.95729,0.91852,0.97463,0.70223,0.99343,0.57918,0.94539,0.000505,0.000505,0.000505
27,252.997,1.0138,0.61198,0.92325,0.94081,0.91942,0.9672,0.67122,1.06215,0.55908,0.96271,0.0004852,0.0004852,0.0004852
28,262.396,1.00794,0.60089,0.93161,0.95582,0.91981,0.96971,0.64135,1.15838,0.58367,0.98867,0.0004654,0.0004654,0.0004654
29,271.826,1.01809,0.60335,0.92736,0.9463,0.93254,0.97035,0.73047,0.88267,0.53113,0.91192,0.0004456,0.0004456,0.0004456
30,281.339,1.00068,0.59811,0.92251,0.93545,0.92659,0.97034,0.67347,1.06028,0.57548,0.95948,0.0004258,0.0004258,0.0004258
