model,params,params_reduction_vs_baseline,macs,macs_reduction_vs_baseline,dependency_groups,alignment,forward_mean_ms,forward_median_ms,forward_p95_ms,e2e_mean_ms,kernel_launches_per_iteration,trt_layers,reformat,pointwise,engine_size_mb,forward_speedup_vs_p30,latency_gate
baseline,3012018,0.0,4073266400,0.0,,original,1.6193158546593622,1.6238235002674628,1.7186303026392125,8.760586259813863,160.08,158,27,79,7.476772308349609,1.085318382418707,false
p30_direct,1452562,0.5177445818716887,1961900000,0.5183472409268395,59,unaligned,1.7574732751018018,1.5542740002274513,2.0746499496453907,8.762237899973115,175.105,161,27,90,5.482402801513672,1.0,false
p40_a8,903466,0.7000462812639234,1121237600,0.7247325635269031,59,multiple_of_8,1.3539831051093643,1.1196585001016501,1.8410959528409876,3.262280759990972,168.01,162,29,88,3.5439510345458984,1.298002366846259,true
p40_a16,799730,0.7344869784974725,1221759200,0.7000541874697908,59,multiple_of_16,1.490267355038668,1.6909890000533778,1.7440766037907451,3.0735161047050497,159.045,155,23,85,3.2215938568115234,1.1793006598176476,true
p40_block,1131930,0.6241954729354207,1420712800,0.6512104388752967,51,multiple_of_8_block_outputs_protected,1.5589802147587761,1.2240295000083279,2.4483860484906472,3.2276675998946303,163.035,160,27,89,3.8626537322998047,1.1273223729614419,true
