epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5178,3.66003,5.59799,2.23595,11.1957,0,0,0,0,3.79625,5.26577,1.75096,0,0.000307692,0.000307692,0.0695385
2,26.4202,2.58812,4.10748,1.55839,8.07948,0.0003,0.04223,6e-05,1e-05,3.34712,4.8586,1.95488,0,0.000640869,0.000640869,0.0365383
3,37.4371,2.04623,3.45948,1.2926,6.92323,0.01135,0.00474,0.00041,0.00012,3.36409,4.95377,1.96027,0,0.000973407,0.000973407,0.00353751
4,47.9486,1.82702,3.09543,1.21073,6.19463,0.0373,0.38572,0.03255,0.01034,2.44557,4.09175,1.49657,0,0.000997803,0.000997803,0.000997803
5,58.845,1.76702,2.88415,1.18895,5.52169,0.02011,0.66597,0.04869,0.01081,2.4708,3.53783,1.44675,0,0.000996097,0.000996097,0.000996097
6,70.3145,1.70797,2.72454,1.1657,5.05322,0.28837,0.13393,0.09527,0.0308,1.98969,3.05815,1.35099,0,0.000993906,0.000993906,0.000993906
7,81.0973,1.69195,2.6128,1.17022,4.66203,0.28647,0.25343,0.12968,0.04333,1.83998,2.85615,1.27628,0,0.000991232,0.000991232,0.000991232
8,92.0839,1.63709,2.5049,1.1515,4.34772,0.13062,0.37471,0.16495,0.08782,1.45538,2.49517,1.13871,0,0.000988079,0.000988079,0.000988079
9,103.904,1.6359,2.38511,1.15446,4.13651,0.14893,0.43191,0.19733,0.11144,1.44955,2.3836,1.14926,0,0.000984449,0.000984449,0.000984449
10,115.87,1.59895,2.25883,1.14772,3.85932,0.20825,0.42191,0.23972,0.12687,1.4372,2.34033,1.12149,0,0.000980345,0.000980345,0.000980345
11,127.879,1.60515,2.12614,1.13753,3.7117,0.25659,0.50317,0.28562,0.15524,1.45328,2.17432,1.12923,0,0.000975773,0.000975773,0.000975773
12,138.549,1.56512,2.01001,1.12947,3.55976,0.26946,0.52943,0.30595,0.18896,1.33542,2.02956,1.10091,0,0.000970736,0.000970736,0.000970736
13,150.292,1.54989,1.91779,1.12468,3.40824,0.30132,0.57256,0.33586,0.16636,1.54532,2.03843,1.16707,0,0.000965239,0.000965239,0.000965239
14,161.893,1.61475,1.89645,1.13606,3.41101,0.3331,0.59247,0.39211,0.23638,1.34912,1.86231,1.10168,0,0.000959289,0.000959289,0.000959289
15,173.097,1.52267,1.79696,1.10256,3.23945,0.35177,0.59679,0.43835,0.23014,1.60659,1.82236,1.17448,0,0.000952889,0.000952889,0.000952889
16,184.156,1.51004,1.74123,1.10048,3.17705,0.41807,0.62938,0.50038,0.29506,1.39884,1.71825,1.12203,0,0.000946048,0.000946048,0.000946048
17,195.38,1.47616,1.68219,1.08929,3.06735,0.45863,0.58863,0.4874,0.20451,1.92294,1.80693,1.39598,0,0.000938772,0.000938772,0.000938772
18,206.78,1.45977,1.60907,1.09041,2.96204,0.49842,0.60718,0.51212,0.2006,2.07592,1.90125,1.48695,0,0.000931067,0.000931067,0.000931067
19,218.992,1.44706,1.53837,1.08687,2.87385,0.50725,0.66562,0.56524,0.35849,1.28133,1.71276,1.07115,0,0.000922942,0.000922942,0.000922942
20,230.264,1.47043,1.53389,1.09296,2.8697,0.49976,0.67662,0.58978,0.33266,1.39719,1.63529,1.08594,0,0.000914405,0.000914405,0.000914405
21,241.81,1.46984,1.50715,1.08242,2.83571,0.523,0.70196,0.60947,0.41547,1.14038,1.40009,1.03038,0,0.000905463,0.000905463,0.000905463
22,253.142,1.45278,1.47122,1.08354,2.7727,0.47416,0.69776,0.59178,0.32046,1.56275,1.5334,1.20865,0,0.000896127,0.000896127,0.000896127
23,265.004,1.41801,1.44772,1.06954,2.71129,0.56967,0.68845,0.63083,0.41237,1.18917,1.38974,1.03001,0,0.000886404,0.000886404,0.000886404
24,276.696,1.40622,1.40092,1.06038,2.68947,0.58401,0.65091,0.64584,0.4113,1.26007,1.41643,1.05877,0,0.000876305,0.000876305,0.000876305
25,287.937,1.38263,1.35114,1.05561,2.58651,0.59987,0.71828,0.70341,0.46787,1.17975,1.27551,1.023,0,0.000865839,0.000865839,0.000865839
26,298.711,1.34737,1.27772,1.04124,2.51389,0.65554,0.72296,0.73136,0.45508,1.2807,1.24648,1.06619,0,0.000855018,0.000855018,0.000855018
27,310.496,1.35468,1.29006,1.04265,2.48203,0.63554,0.68891,0.70006,0.36154,1.64152,1.36207,1.20547,0,0.000843851,0.000843851,0.000843851
28,321.576,1.32131,1.22701,1.04278,2.39555,0.69003,0.71861,0.76375,0.42905,1.44228,1.19327,1.12325,0,0.000832349,0.000832349,0.000832349
29,332.657,1.36252,1.24189,1.05055,2.39894,0.75696,0.73163,0.78403,0.51781,1.19386,1.12142,1.03739,0,0.000820525,0.000820525,0.000820525
30,343.795,1.33865,1.2181,1.0422,2.35272,0.75446,0.75111,0.80887,0.54923,1.13248,1.0969,1.01632,0,0.000808389,0.000808389,0.000808389
31,355.328,1.28471,1.14739,1.02108,2.24889,0.75908,0.74367,0.80453,0.39168,1.70526,1.16516,1.23373,0,0.000795954,0.000795954,0.000795954
32,366.146,1.35174,1.14416,1.03558,2.24939,0.72329,0.76693,0.82605,0.45226,1.51167,1.16958,1.15833,0,0.000783231,0.000783231,0.000783231
33,377.944,1.31182,1.11862,1.02899,2.21333,0.83402,0.7648,0.86792,0.57422,1.17581,1.00072,1.02033,0,0.000770234,0.000770234,0.000770234
34,389.627,1.30516,1.10373,1.02835,2.18346,0.79833,0.77824,0.86172,0.5339,1.25428,1.00985,1.05007,0,0.000756976,0.000756976,0.000756976
35,401.102,1.25111,1.05605,1.01434,2.11641,0.84474,0.80084,0.88196,0.6205,1.07557,0.93865,0.9848,0,0.000743468,0.000743468,0.000743468
36,412.439,1.29754,1.07183,1.01854,2.14244,0.84218,0.76707,0.86423,0.55586,1.2072,1.03085,1.00809,0,0.000729725,0.000729725,0.000729725
37,424.533,1.30772,1.07555,1.02399,2.11517,0.84849,0.80748,0.89589,0.6003,1.13059,0.92687,1.00069,0,0.000715761,0.000715761,0.000715761
38,437.169,1.29658,1.06737,1.0292,2.09685,0.85851,0.785,0.88341,0.61439,1.08656,0.93901,0.98697,0,0.000701588,0.000701588,0.000701588
39,448.956,1.27859,1.03201,1.01506,2.04966,0.89326,0.80363,0.90112,0.62967,1.06621,0.85442,0.98462,0,0.000687222,0.000687222,0.000687222
40,460.042,1.25812,1.00412,1.00725,2.01904,0.8901,0.82932,0.91025,0.64434,1.03697,0.8483,0.97747,0,0.000672675,0.000672675,0.000672675
41,471.455,1.22398,0.9686,1.00188,1.94334,0.88616,0.82156,0.91033,0.62011,1.10584,0.86494,0.99208,0,0.000657963,0.000657963,0.000657963
42,483.067,1.29165,0.9848,1.01294,1.9955,0.87818,0.79664,0.88161,0.41707,1.79723,0.99439,1.26889,0,0.000643101,0.000643101,0.000643101
43,494.224,1.22851,0.95651,1.00482,1.91716,0.88831,0.8235,0.90344,0.54914,1.32258,0.86984,1.06979,0,0.000628101,0.000628101,0.000628101
44,506.015,1.20555,0.95094,0.99307,1.88454,0.88721,0.81963,0.91059,0.57758,1.24668,0.85094,1.03723,0,0.000612981,0.000612981,0.000612981
45,517.297,1.23808,0.93425,1.00263,1.87494,0.87999,0.80082,0.87872,0.44911,1.6344,0.91784,1.20147,0,0.000597754,0.000597754,0.000597754
46,529.326,1.25248,0.91682,0.99943,1.86681,0.88597,0.83189,0.90739,0.65061,1.02487,0.80632,0.9695,0,0.000582435,0.000582435,0.000582435
47,541.19,1.22522,0.89863,0.99737,1.82455,0.89378,0.82604,0.9166,0.62588,1.11325,0.80971,0.99663,0,0.00056704,0.00056704,0.00056704
48,552.123,1.27215,0.91059,1.00611,1.8346,0.88828,0.82468,0.90373,0.55178,1.34013,0.8527,1.06992,0,0.000551584,0.000551584,0.000551584
49,563.578,1.22519,0.89878,0.98944,1.80711,0.92026,0.83848,0.92449,0.61388,1.157,0.80136,1.01078,0,0.000536081,0.000536081,0.000536081
50,575.698,1.21532,0.89731,0.99636,1.79138,0.88867,0.82661,0.90985,0.58426,1.24222,0.84639,1.03862,0,0.000520548,0.000520548,0.000520548
51,586.613,1.18952,0.87678,0.98477,1.75959,0.88383,0.8314,0.90697,0.48378,1.56034,0.87127,1.15255,0,0.000505,0.000505,0.000505
52,598.75,1.18359,0.86644,0.98205,1.74725,0.91893,0.85238,0.92391,0.57722,1.27245,0.79872,1.04396,0,0.000489452,0.000489452,0.000489452
53,610.281,1.18505,0.85177,0.99409,1.6957,0.92456,0.85467,0.93554,0.65779,1.0495,0.72983,0.96993,0,0.000473919,0.000473919,0.000473919
54,622.541,1.19306,0.85999,0.98356,1.71316,0.90274,0.86683,0.93583,0.6541,1.05852,0.73845,0.96557,0,0.000458416,0.000458416,0.000458416
55,633.563,1.16398,0.83897,0.97827,1.68346,0.92319,0.86328,0.9382,0.59501,1.24534,0.77034,1.00996,0,0.00044296,0.00044296,0.00044296
56,645.04,1.20225,0.83756,0.9918,1.70954,0.90736,0.87397,0.93646,0.61789,1.15881,0.75526,0.99019,0,0.000427565,0.000427565,0.000427565
57,656.348,1.2,0.85309,0.9898,1.72413,0.92696,0.86108,0.93612,0.65553,1.03039,0.71188,0.95829,0,0.000412246,0.000412246,0.000412246
58,668.858,1.18602,0.84006,0.97587,1.68607,0.9192,0.8601,0.9317,0.59493,1.2289,0.76924,1.00356,0,0.000397019,0.000397019,0.000397019
59,680.219,1.15158,0.80507,0.9765,1.63339,0.90537,0.85924,0.93374,0.6478,1.07268,0.72405,0.9649,0,0.000381899,0.000381899,0.000381899
60,691.632,1.19816,0.82485,0.98381,1.66564,0.92082,0.8782,0.94167,0.6547,1.06188,0.70135,0.97328,0,0.000366899,0.000366899,0.000366899
61,703.032,1.171,0.82026,0.97399,1.64346,0.93693,0.85911,0.94489,0.67967,0.99105,0.68818,0.95374,0,0.000352037,0.000352037,0.000352037
62,714.445,1.15198,0.81526,0.97119,1.64885,0.92578,0.88119,0.94522,0.68744,0.9818,0.67968,0.94478,0,0.000337325,0.000337325,0.000337325
63,725.962,1.17877,0.81385,0.97058,1.63497,0.90758,0.88054,0.94146,0.60454,1.2036,0.73063,0.9969,0,0.000322778,0.000322778,0.000322778
64,737.08,1.14092,0.79841,0.96386,1.62252,0.93057,0.87415,0.94495,0.67639,1.01771,0.67936,0.95157,0,0.000308412,0.000308412,0.000308412
65,748.429,1.156,0.80914,0.97397,1.61477,0.92951,0.86831,0.9457,0.68563,1.00216,0.67658,0.95057,0,0.000294239,0.000294239,0.000294239
66,759.883,1.11751,0.76862,0.96693,1.57458,0.91594,0.87518,0.94448,0.68955,0.96961,0.66517,0.94819,0,0.000280275,0.000280275,0.000280275
67,770.384,1.1199,0.77422,0.96649,1.56567,0.92647,0.87165,0.94316,0.69771,0.93739,0.66007,0.93733,0,0.000266532,0.000266532,0.000266532
68,782.207,1.12257,0.77207,0.96419,1.56466,0.91941,0.89517,0.9486,0.7073,0.91735,0.64463,0.9355,0,0.000253024,0.000253024,0.000253024
69,794.211,1.1339,0.76941,0.96574,1.55111,0.93115,0.88204,0.94709,0.70386,0.93374,0.65303,0.93289,0,0.000239766,0.000239766,0.000239766
70,805.729,1.12511,0.77403,0.95944,1.56874,0.9302,0.8852,0.94809,0.70536,0.92158,0.63973,0.93069,0,0.000226769,0.000226769,0.000226769
71,817.197,1.12215,0.76232,0.96067,1.54384,0.93748,0.86519,0.94943,0.70125,0.93796,0.65427,0.93299,0,0.000214046,0.000214046,0.000214046
72,828.126,1.11208,0.75311,0.96201,1.54179,0.94049,0.88193,0.94879,0.70441,0.93517,0.63689,0.93482,0,0.000201611,0.000201611,0.000201611
73,839.582,1.11013,0.76214,0.9629,1.52999,0.91369,0.89623,0.94681,0.68819,0.9836,0.64668,0.94477,0,0.000189475,0.000189475,0.000189475
74,850.823,1.1319,0.75618,0.96868,1.53765,0.92972,0.87023,0.94296,0.66691,1.0321,0.65881,0.96415,0,0.000177651,0.000177651,0.000177651
75,862.251,1.11357,0.75938,0.96073,1.54604,0.92957,0.88983,0.94646,0.66299,1.06077,0.65872,0.96748,0,0.000166149,0.000166149,0.000166149
76,873.646,1.11871,0.74319,0.96298,1.51552,0.90962,0.90581,0.95014,0.69732,0.95797,0.63038,0.93775,0,0.000154982,0.000154982,0.000154982
77,885.493,1.10926,0.74309,0.95768,1.50239,0.95406,0.87196,0.95017,0.68651,0.96964,0.63347,0.94304,0,0.000144161,0.000144161,0.000144161
78,897.473,1.10737,0.75342,0.95126,1.50757,0.925,0.9021,0.95113,0.70315,0.94772,0.62057,0.93421,0,0.000133695,0.000133695,0.000133695
79,909.241,1.09209,0.7415,0.95959,1.48958,0.93434,0.87816,0.94926,0.69906,0.94768,0.6378,0.9351,0,0.000123596,0.000123596,0.000123596
80,920.069,1.12348,0.7503,0.96004,1.50938,0.93593,0.88344,0.94655,0.68199,1.01461,0.64912,0.9508,0,0.000113873,0.000113873,0.000113873
81,931.094,1.12797,0.74585,0.95505,1.51654,0.94232,0.88159,0.95255,0.69113,0.96652,0.63127,0.9388,0,0.000104537,0.000104537,0.000104537
82,942.876,1.0934,0.73684,0.95735,1.48849,0.94383,0.88198,0.95234,0.70727,0.92569,0.61974,0.93131,0,9.55951e-05,9.55951e-05,9.55951e-05
83,954.781,1.1033,0.73857,0.95804,1.49664,0.93026,0.89404,0.95256,0.70733,0.9331,0.61665,0.93282,0,8.70577e-05,8.70577e-05,8.70577e-05
84,966.523,1.08351,0.72365,0.94835,1.48213,0.94414,0.87511,0.9499,0.70018,0.94525,0.6222,0.93725,0,7.89327e-05,7.89327e-05,7.89327e-05
85,977.935,1.10212,0.7341,0.95251,1.48594,0.93823,0.88971,0.95295,0.70989,0.92303,0.61087,0.9298,0,7.12282e-05,7.12282e-05,7.12282e-05
86,989.586,1.0725,0.72394,0.94984,1.49051,0.94192,0.8832,0.9517,0.7027,0.94896,0.62043,0.93621,0,6.39518e-05,6.39518e-05,6.39518e-05
87,1001.84,1.08378,0.72853,0.95067,1.48839,0.92894,0.90129,0.9527,0.70718,0.93293,0.61383,0.93174,0,5.71106e-05,5.71106e-05,5.71106e-05
88,1013.17,1.06551,0.71748,0.95038,1.45406,0.92843,0.9017,0.95252,0.7106,0.92378,0.61554,0.93012,0,5.07115e-05,5.07115e-05,5.07115e-05
89,1025.03,1.09918,0.72974,0.95441,1.49548,0.93563,0.89302,0.9521,0.70974,0.92286,0.61209,0.92966,0,4.47606e-05,4.47606e-05,4.47606e-05
90,1036.28,1.08354,0.73363,0.95413,1.49116,0.94418,0.88309,0.95169,0.70825,0.91949,0.6096,0.92817,0,3.9264e-05,3.9264e-05,3.9264e-05
91,1053.3,1.04439,0.68428,0.96779,1.49813,0.92783,0.89325,0.94868,0.69391,0.96207,0.62458,0.93779,0,3.4227e-05,3.4227e-05,3.4227e-05
92,1063.46,1.05013,0.65871,0.95901,1.4507,0.93861,0.88403,0.94904,0.6992,0.94188,0.62185,0.93375,0,2.96546e-05,2.96546e-05,2.96546e-05
93,1073.82,1.00449,0.63292,0.95839,1.41623,0.93161,0.89425,0.95119,0.70758,0.92217,0.61548,0.929,0,2.55513e-05,2.55513e-05,2.55513e-05
94,1084.86,0.98287,0.62136,0.95049,1.4092,0.94208,0.88747,0.95147,0.70413,0.93621,0.61756,0.93318,0,2.19212e-05,2.19212e-05,2.19212e-05
95,1095.12,0.9964,0.62507,0.94932,1.39891,0.93886,0.88751,0.95098,0.70834,0.92311,0.61616,0.9297,0,1.87678e-05,1.87678e-05,1.87678e-05
96,1106.11,0.98875,0.61799,0.94858,1.38963,0.93712,0.88583,0.95075,0.70699,0.9246,0.61461,0.92921,0,1.60943e-05,1.60943e-05,1.60943e-05
97,1116.17,0.97776,0.61259,0.95,1.38638,0.94258,0.8851,0.95104,0.70615,0.92318,0.61324,0.92856,0,1.39032e-05,1.39032e-05,1.39032e-05
98,1126.53,0.993,0.62193,0.96061,1.38949,0.94657,0.88294,0.95005,0.70598,0.92299,0.6137,0.92829,0,1.21968e-05,1.21968e-05,1.21968e-05
99,1136.67,0.99778,0.61589,0.9511,1.39264,0.94007,0.88633,0.95084,0.70412,0.92753,0.61377,0.9288,0,1.09768e-05,1.09768e-05,1.09768e-05
100,1147.1,0.98836,0.61339,0.95328,1.38427,0.94055,0.88351,0.95058,0.70269,0.93755,0.61455,0.93076,0,1.02443e-05,1.02443e-05,1.02443e-05
