model,precision,recall,mAP50,mAP50-95,forward_mean_ms,forward_median_ms,forward_p95_ms,e2e_mean_ms,e2e_median_ms,e2e_p95_ms,fps,engine_size_mb
P30 FP16 graph off,0.9630053238239128,0.92858358993507,0.9770030959914364,0.7561045923770547,1.8134338999880129,1.4946230003261007,3.156430893432116,8.263969039835501,8.031735000258777,10.690692695061443,121.00722971971656,5.482402801513672
P30 FP16 CUDA Graph,0.9630053238239128,0.92858358993507,0.9770030959914364,0.7561045923770547,1.7169820348499343,1.4892534964019433,2.733714355053962,8.276779495099618,8.092669002508046,10.348510349649587,120.81993975942743,5.482402801513672
P30 INT8 PTQ graph off,0.9439337102207302,0.9208328000844466,0.9697811627117479,0.6111853039875624,1.9046657249418786,1.7075545001716819,3.493080047701369,8.733734589841333,8.699837500898866,11.307774097804213,114.49855611174087,5.859698295593262
P30 INT8 QAT smoke graph off,0.9634320098922625,0.9214879396073913,0.969830899702581,0.7246209975555863,1.8896449499879964,1.7343880026601255,2.1639667473209556,8.981689079919306,8.842746501613874,11.17792975201155,111.33763272163773,5.1861162185668945
P30 INT8 QAT smoke CUDA Graph,0.9634320098922625,0.9214879396073913,0.969830899702581,0.7246209975555863,1.762104824956623,1.7533434984216,1.800956045917701,8.961638859946106,8.65326900020591,11.933506406057859,111.58673269790899,5.1861162185668945
