layer,input_shape,output_shape,kernel,groups,precision,input_format,output_format,weight_type,tactic,suspected_fallback_reason
"model.22.cv2.1.0.conv.weight + /model.22/cv2.1/cv2.1.0/conv/weight_quantizer/QuantizeLinear + /model.22/cv2.1/cv2.1.0/conv/Conv + PWN(/model.22/cv2.1/cv2.1.0/act/Sigmoid, /model.22/cv2.1/cv2.1.0/act/Mul)",1x89x40x40,1x44x40x40,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.22/cv2.1/cv2.1.2/Conv,1x44x40x40,1x64x40x40,1x1,1,FP32,Row major linear FP32,Row major linear FP32,Float,sm70_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize64x64x8_stage1_warpsize1x4x1_g1_ffma_t1r1s1_aligna4_alignc4,engine inspector confirms float weights and FP32 tactic; Detect/DFL boundary remains high precision to preserve detector semantics; FP32 island propagated through the input tensor
"model.21.cv0.conv.weight + /model.21/cv0/conv/weight_quantizer/QuantizeLinear + /model.21/cv0/conv/Conv + PWN(/model.21/cv0/act/Sigmoid, /model.21/cv0/act/Mul)",1x268x20x20,1x89x20x20,1x1,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.21.cv1.conv.weight + /model.21/cv1/conv/weight_quantizer/QuantizeLinear + /model.21/cv1/conv/Conv,1x268x20x20,1x89x20x20,1x1,1,FP32,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major FP32 format,Int8,turing_fp32_i8816cudnn_int8_128x128_ldg16_relu_small_nt_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Cout=89 is not divisible by 4, unfavorable for vectorized INT8"
"model.21.m.0.cv1.conv.weight + /model.21/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.21/m.0/cv1/conv/Conv + PWN(/model.21/m.0/cv1/act/Sigmoid, /model.21/m.0/cv1/act/Mul)",1x89x20x20,1x89x20x20,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.21.m.0.cv2.conv.weight + /model.21/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.21/m.0/cv2/conv/Conv + PWN(/model.21/m.0/cv2/act/Sigmoid, /model.21/m.0/cv2/act/Mul)",1x89x20x20,1x89x20x20,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.21.cv2.conv.weight + /model.21/cv2/conv/weight_quantizer/QuantizeLinear + /model.21/cv2/conv/Conv + PWN(/model.21/cv2/act/Sigmoid, /model.21/cv2/act/Mul)",1x267x20x20,1x179x20x20,1x1,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.22.cv2.2.0.conv.weight + /model.22/cv2.2/cv2.2.0/conv/weight_quantizer/QuantizeLinear + /model.22/cv2.2/cv2.2.0/conv/Conv + PWN(/model.22/cv2.2/cv2.2.0/act/Sigmoid, /model.22/cv2.2/cv2.2.0/act/Mul)",1x179x20x20,1x44x20x20,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.22.cv2.2.1.conv.weight + /model.22/cv2.2/cv2.2.1/conv/weight_quantizer/QuantizeLinear + /model.22/cv2.2/cv2.2.1/conv/Conv,1x44x20x20,1x44x20x20,3x3,1,FP32,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major FP32 format,Int8,turing_fp32_i8816cudnn_int8_128x128_ldg16_relu_small_nt_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Detect/DFL boundary remains high precision to preserve detector semantics"
/model.22/cv2.2/cv2.2.2/Conv,1x44x20x20,1x64x20x20,1x1,1,FP32,Row major linear FP32,Row major linear FP32,Float,sm70_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize64x64x8_stage1_warpsize1x4x1_g1_ffma_t1r1s1_aligna4_alignc4,engine inspector confirms float weights and FP32 tactic; Detect/DFL boundary remains high precision to preserve detector semantics; FP32 island propagated through the input tensor
/model.22/dfl/conv/Conv,1x16x4x8400,1x1x4x8400,1x1,1,FP32,Row major linear FP32,Row major linear FP32,Float,sm70_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x16x8_stage1_warpsize4x1x1_g1_ffma_aligna4_alignc4,"engine inspector confirms float weights and FP32 tactic; Detect/DFL boundary remains high precision to preserve detector semantics; FP32 island propagated through the input tensor; Cout=1 is not divisible by 4, unfavorable for vectorized INT8"
"model.22.cv3.2.0.conv.weight + /model.22/cv3.2/cv3.2.0/conv/weight_quantizer/QuantizeLinear + /model.22/cv3.2/cv3.2.0/conv/Conv + PWN(/model.22/cv3.2/cv3.2.0/act/Sigmoid, /model.22/cv3.2/cv3.2.0/act/Mul)",1x179x20x20,1x44x20x20,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.22.cv3.2.1.conv.weight + /model.22/cv3.2/cv3.2.1/conv/weight_quantizer/QuantizeLinear + /model.22/cv3.2/cv3.2.1/conv/Conv,1x44x20x20,1x44x20x20,3x3,1,FP32,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major FP32 format,Int8,turing_fp32_i8816cudnn_int8_128x128_ldg16_relu_small_nt_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Detect/DFL boundary remains high precision to preserve detector semantics"
/model.22/cv3.2/cv3.2.2/Conv,1x44x20x20,1x6x20x20,1x1,1,FP32,Row major linear FP32,Row major linear FP32,Float,sm50_xmma_conv_fprop_fused_conv_act_fp32_NCHW_fp32_NCHW_KCRS_fp32_fp32_fp32_Accfloat_1_1_cC1_dC1_srcVec4_fltVec1_1_TP1_TQ7_C1_R1_S1_U1_V1,"engine inspector confirms float weights and FP32 tactic; Detect/DFL boundary remains high precision to preserve detector semantics; FP32 island propagated through the input tensor; Cout=6 is not divisible by 4, unfavorable for vectorized INT8"
