layer,input_shape,output_shape,kernel,groups,precision,input_format,output_format,weight_type,tactic,suspected_fallback_reason
"model.4.cv2.conv.weight + /model.4/cv2/conv/weight_quantizer/QuantizeLinear + /model.4/cv2/conv/Conv + PWN(/model.4/cv2/act/Sigmoid, /model.4/cv2/act/Mul)",1x88x80x80,1x44x80x80,1x1,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_256x64_ldg16_relu_singleBuffer_interior_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.5.conv.weight + /model.5/conv/weight_quantizer/QuantizeLinear + /model.5/conv/Conv + PWN(/model.5/act/Sigmoid, /model.5/act/Mul)",1x44x80x80,1x89x40x40,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x64_relu_small_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.6.cv0.conv.weight + /model.6/cv0/conv/weight_quantizer/QuantizeLinear + /model.6/cv0/conv/Conv + PWN(/model.6/cv0/act/Sigmoid, /model.6/cv0/act/Mul)",1x89x40x40,1x44x40x40,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x64_relu_interior_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.6.cv1.conv.weight + /model.6/cv1/conv/weight_quantizer/QuantizeLinear + /model.6/cv1/conv/Conv,1x89x40x40,1x44x40x40,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_interior_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute"
"model.6.m.0.cv1.conv.weight + /model.6/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.6/m.0/cv1/conv/Conv + PWN(/model.6/m.0/cv1/act/Sigmoid, /model.6/m.0/cv1/act/Mul)",1x44x40x40,1x44x40x40,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.6.m.0.cv2.conv.weight + /model.6/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.6/m.0/cv2/conv/Conv,1x44x40x40,1x44x40x40,3x3,1,FP32,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major FP32 format,Int8,turing_fp32_i8816cudnn_int8_128x128_ldg16_relu_small_nt_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute"
"model.6.m.1.cv1.conv.weight + /model.6/m.1/cv1/conv/weight_quantizer/QuantizeLinear + /model.6/m.1/cv1/conv/Conv + PWN(/model.6/m.1/cv1/act/Sigmoid, /model.6/m.1/cv1/act/Mul)",1x44x40x40,1x44x40x40,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.6.m.1.cv2.conv.weight + /model.6/m.1/cv2/conv/weight_quantizer/QuantizeLinear + /model.6/m.1/cv2/conv/Conv,1x44x40x40,1x44x40x40,3x3,1,FP32,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major FP32 format,Int8,turing_fp32_i8816cudnn_int8_128x128_ldg16_relu_small_nt_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute"
"model.6.cv2.conv.weight + /model.6/cv2/conv/weight_quantizer/QuantizeLinear + /model.6/cv2/conv/Conv + PWN(/model.6/cv2/act/Sigmoid, /model.6/cv2/act/Mul)",1x176x40x40,1x89x40x40,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x64_relu_interior_c32_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.7.conv.weight + /model.7/conv/weight_quantizer/QuantizeLinear + /model.7/conv/Conv + PWN(/model.7/act/Sigmoid, /model.7/act/Mul)",1x89x40x40,1x179x20x20,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
