epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_loss,gated/lambda1,gated/lambda2
26,425.575,0.8994,0.54072,0.90024,3.08614,0.97541,0.96664,0.9863,0.76725,0.75186,0.42694,0.88231,0,0.0001505,0.0001505,0.0001505,0.01505,-0.01505,0.1,0.930445,3.50204,2.93111,1.53822
27,442.129,0.91783,0.55088,0.90155,3.01985,0.9736,0.95639,0.98118,0.71601,0.91311,0.47057,0.91165,0,0.00014852,0.00014852,0.00014852,0.014852,-0.014852,0.1,0.9033,3.41431,2.99447,1.55138
28,458.412,0.89774,0.53836,0.90161,2.93696,0.97026,0.95708,0.98213,0.73459,0.85412,0.46034,0.9002,0,0.00014654,0.00014654,0.00014654,0.014654,-0.014654,0.1,0.873211,3.31037,3.06113,1.56479
29,474.456,0.90411,0.54336,0.90281,2.89424,0.97785,0.96077,0.98577,0.77229,0.73061,0.43624,0.87636,0,0.00014456,0.00014456,0.00014456,0.014456,-0.014456,0.1,0.847183,3.21889,3.12076,1.5764
30,490.779,0.90927,0.54868,0.90382,2.81091,0.97352,0.96617,0.98412,0.75839,0.78026,0.43621,0.88747,0,0.00014258,0.00014258,0.00014258,0.014258,-0.014258,0.1,0.822561,3.13592,3.18338,1.58818
31,506.765,0.94069,0.54183,0.90309,2.75122,0.96754,0.96691,0.9802,0.74046,0.82366,0.4519,0.89466,0,0.0001406,0.0001406,0.0001406,0.01406,-0.01406,0.1,0.802892,3.07113,3.23949,1.59842
32,523.042,0.89795,0.5344,0.90161,2.65126,0.96348,0.96883,0.98082,0.75208,0.79511,0.4423,0.88674,0,0.00013862,0.00013862,0.00013862,0.013862,-0.013862,0.1,0.78242,3.00558,3.29865,1.60891
33,539.528,0.89043,0.52726,0.90104,2.6176,0.97204,0.96651,0.98417,0.7771,0.72779,0.41736,0.87584,0,0.00013664,0.00013664,0.00013664,0.013664,-0.013664,0.1,0.762609,2.93729,3.35182,1.61809
34,555.822,0.89171,0.53016,0.90207,2.60705,0.96937,0.96252,0.983,0.74553,0.83123,0.44777,0.89321,0,0.00013466,0.00013466,0.00013466,0.013466,-0.013466,0.1,0.741304,2.86049,3.4078,1.62748
35,572.112,0.89954,0.53259,0.90309,2.5137,0.96833,0.96206,0.98474,0.76701,0.76712,0.43414,0.88087,0,0.00013268,0.00013268,0.00013268,0.013268,-0.013268,0.1,0.723646,2.79762,3.45795,1.63566
36,588.33,0.91156,0.53299,0.89606,2.53515,0.96417,0.97176,0.98277,0.68506,0.98465,0.47344,0.92359,0,0.0001307,0.0001307,0.0001307,0.01307,-0.01307,0.1,0.707466,2.74338,3.51076,1.64403
37,604.64,0.89017,0.5238,0.89423,2.41285,0.96393,0.9722,0.98426,0.77057,0.74815,0.4157,0.87912,0,0.00012872,0.00012872,0.00012872,0.012872,-0.012872,0.1,0.693379,2.69714,3.55824,1.65137
38,621.14,0.89474,0.52435,0.90055,2.40629,0.9762,0.95977,0.98407,0.75764,0.7893,0.44012,0.89099,0,0.00012674,0.00012674,0.00012674,0.012674,-0.012674,0.1,0.677991,2.64386,3.60838,1.65893
39,637.284,0.88202,0.52391,0.89714,2.34006,0.97205,0.96863,0.98551,0.78332,0.7158,0.40682,0.87242,0,0.00012476,0.00012476,0.00012476,0.012476,-0.012476,0.1,0.663928,2.59442,3.65346,1.66558
40,654.205,0.881,0.51169,0.896,2.32771,0.9749,0.96556,0.98734,0.77704,0.73532,0.40874,0.87482,0,0.00012278,0.00012278,0.00012278,0.012278,-0.012278,0.1,0.648935,2.53967,3.701,1.67242
41,671.066,0.8801,0.50986,0.8964,2.28904,0.97206,0.96674,0.98181,0.70542,0.94024,0.46672,0.91507,0,0.0001208,0.0001208,0.0001208,0.01208,-0.01208,0.1,0.635854,2.49183,3.74369,1.67842
42,687.605,0.88937,0.51911,0.89737,2.26137,0.97784,0.95513,0.98112,0.71409,0.88759,0.45233,0.90481,0,0.00011882,0.00011882,0.00011882,0.011882,-0.011882,0.1,0.623271,2.44746,3.78867,1.68458
43,704.411,0.86798,0.50823,0.89674,2.1982,0.97489,0.95576,0.98254,0.76548,0.76074,0.4294,0.87918,0,0.00011684,0.00011684,0.00011684,0.011684,-0.011684,0.1,0.611305,2.40346,3.8291,1.69
44,722.757,0.89,0.5158,0.89594,2.22162,0.9737,0.96332,0.98466,0.75938,0.76738,0.42014,0.87981,0,0.00011486,0.00011486,0.00011486,0.011486,-0.011486,0.1,0.599704,2.3609,3.87172,1.69559
45,739.441,0.87635,0.51474,0.89483,2.09992,0.96649,0.96813,0.98386,0.76126,0.77177,0.41733,0.88221,0,0.00011288,0.00011288,0.00011288,0.011288,-0.011288,0.1,0.590004,2.32718,3.91004,1.70051
46,755.966,0.89689,0.51937,0.89885,2.12967,0.96066,0.96508,0.98312,0.69896,0.95217,0.46531,0.91471,0,0.0001109,0.0001109,0.0001109,0.01109,-0.01109,0.1,0.579299,2.28817,3.95051,1.70559
47,774.024,0.89587,0.50947,0.89992,2.09176,0.9725,0.96244,0.98366,0.72675,0.87547,0.44137,0.90148,0,0.00010892,0.00010892,0.00010892,0.010892,-0.010892,0.1,0.570084,2.25469,3.9869,1.71008
48,791.714,0.87722,0.51187,0.89002,2.11271,0.97577,0.9606,0.98215,0.72791,0.86386,0.43848,0.90015,0,0.00010694,0.00010694,0.00010694,0.010694,-0.010694,0.1,0.560697,2.2212,4.02531,1.71472
49,809.222,0.89847,0.52174,0.89575,2.08628,0.97811,0.96775,0.98374,0.77402,0.71935,0.40563,0.87067,0,0.00010496,0.00010496,0.00010496,0.010496,-0.010496,0.1,0.552109,2.18922,4.05987,1.71882
50,825.583,0.86024,0.5056,0.89343,2.04914,0.97209,0.96768,0.98495,0.77607,0.72688,0.40553,0.87307,0,0.00010298,0.00010298,0.00010298,0.010298,-0.010298,0.1,0.542486,2.15295,4.09634,1.72307
51,841.858,0.86181,0.49855,0.89269,1.99505,0.9679,0.96878,0.98365,0.7647,0.75951,0.41868,0.87947,0,0.000101,0.000101,0.000101,0.0101,-0.0101,0.1,0.533616,2.11786,4.12908,1.72681
52,858.883,0.87646,0.51553,0.89378,1.99097,0.96928,0.96407,0.9839,0.75338,0.81076,0.42365,0.89121,0,9.902e-05,9.902e-05,9.902e-05,0.009902,-0.009902,0.1,0.525342,2.08631,4.16357,1.73067
53,875.353,0.87379,0.51014,0.89534,1.97518,0.97354,0.9636,0.98516,0.76988,0.75484,0.41073,0.87873,0,9.704e-05,9.704e-05,9.704e-05,0.009704,-0.009704,0.1,0.518071,2.05927,4.19455,1.73408
54,892.257,0.86897,0.50183,0.89264,1.94544,0.97144,0.95997,0.98293,0.76562,0.74559,0.41131,0.87722,0,9.506e-05,9.506e-05,9.506e-05,0.009506,-0.009506,0.1,0.509664,2.02597,4.22721,1.7376
55,908.606,0.85876,0.50045,0.88977,1.93656,0.97313,0.97045,0.98675,0.77927,0.7155,0.39784,0.87146,0,9.308e-05,9.308e-05,9.308e-05,0.009308,-0.009308,0.1,0.502176,1.99576,4.2565,1.74071
56,925.251,0.86036,0.49781,0.89499,1.89954,0.9653,0.96989,0.98476,0.75995,0.77894,0.41545,0.8816,0,9.11e-05,9.11e-05,9.11e-05,0.00911,-0.00911,0.1,0.494751,1.96644,4.28734,1.74392
57,941.574,0.87361,0.50432,0.89474,1.91969,0.9725,0.96381,0.98334,0.75721,0.78233,0.41804,0.88448,0,8.912e-05,8.912e-05,8.912e-05,0.008912,-0.008912,0.1,0.488207,1.94037,4.31499,1.74675
58,958.363,0.86625,0.49859,0.88883,1.88947,0.97211,0.96409,0.98246,0.75548,0.8042,0.41605,0.88976,0,8.714e-05,8.714e-05,8.714e-05,0.008714,-0.008714,0.1,0.481373,1.91345,4.3441,1.74968
59,974.741,0.85437,0.49792,0.89243,1.83034,0.97064,0.96712,0.98448,0.77044,0.73979,0.39863,0.87891,0,8.516e-05,8.516e-05,8.516e-05,0.008516,-0.008516,0.1,0.475303,1.88898,4.37021,1.75226
