epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1417,1.096,0.67168,0.94912,0.55297,0.44344,0.37305,0.08039,3.08364,1.38462,1.85977,4.8e-05,4.8e-05,0.052048
2,26.6301,1.04917,0.65273,0.9363,0.96117,0.9207,0.96758,0.64645,1.04649,0.54788,0.94785,6.566e-05,6.566e-05,0.00206566
3,39.3009,1.02346,0.61912,0.92783,0.95861,0.92494,0.97137,0.72092,0.86585,0.49037,0.91004,3.4e-05,3.4e-05,3.4e-05
