epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_penalty,gated/lambda1,gated/lambda2
26,447.588,0.89704,0.54338,0.89991,3.07558,0.9739,0.96695,0.98686,0.75961,0.77245,0.43621,0.88488,0,0.0001505,0.0001505,0.0001505,0.037625,-0.037625,0.3,0.156517,2.63488,-16.0409,16.3735
27,464.572,0.91604,0.55089,0.90131,3.00445,0.97535,0.95574,0.98114,0.71365,0.91541,0.47467,0.91184,0,0.00014852,0.00014852,0.00014852,0.03713,-0.03713,0.3,0.15797,2.67506,-16.4728,16.764
28,481.293,0.89758,0.53988,0.90154,2.91497,0.96628,0.96175,0.98275,0.74755,0.8191,0.45273,0.89367,0,0.00014654,0.00014654,0.00014654,0.036635,-0.036635,0.3,0.160216,2.70117,-16.9304,17.1752
29,498.166,0.90049,0.5414,0.90235,2.86516,0.97932,0.95797,0.98466,0.76462,0.74236,0.43844,0.87932,0,0.00014456,0.00014456,0.00014456,0.03614,-0.03614,0.3,0.16276,2.7097,-17.3422,17.5413
30,514.809,0.90727,0.55122,0.90349,2.78628,0.97178,0.96506,0.9817,0.75869,0.78544,0.43826,0.88918,0,0.00014258,0.00014258,0.00014258,0.035645,-0.035645,0.3,0.164942,2.72602,-17.7757,17.9219
31,531.629,0.93478,0.54238,0.90256,2.71967,0.96914,0.96152,0.97988,0.74483,0.80995,0.44907,0.89152,0,0.0001406,0.0001406,0.0001406,0.03515,-0.03515,0.3,0.166184,2.75478,-18.1655,18.2602
32,548.377,0.89615,0.53362,0.90117,2.62555,0.9655,0.96854,0.98181,0.7541,0.78869,0.44169,0.88505,0,0.00013862,0.00013862,0.00013862,0.034655,-0.034655,0.3,0.167138,2.79417,-18.5786,18.6163
33,564.961,0.88725,0.52649,0.90088,2.58726,0.96883,0.96859,0.9855,0.77968,0.72749,0.41839,0.87612,0,0.00013664,0.00013664,0.00013664,0.03416,-0.03416,0.3,0.168423,2.82006,-18.9525,18.9372
34,581.854,0.89078,0.52941,0.90183,2.57716,0.97348,0.95809,0.98372,0.76289,0.77973,0.43586,0.88411,0,0.00013466,0.00013466,0.00013466,0.033665,-0.033665,0.3,0.170079,2.83787,-19.3491,19.2756
35,598.605,0.89861,0.53095,0.90271,2.47859,0.97152,0.96162,0.98579,0.76788,0.77011,0.4318,0.88293,0,0.00013268,0.00013268,0.00013268,0.03317,-0.03317,0.3,0.171355,2.85705,-19.707,19.5789
36,615.431,0.9144,0.53398,0.89669,2.50071,0.97046,0.96442,0.98321,0.6999,0.93946,0.46432,0.9141,0,0.0001307,0.0001307,0.0001307,0.032675,-0.032675,0.3,0.172167,2.89007,-20.0865,19.8985
37,631.907,0.89097,0.52325,0.89407,2.38415,0.97325,0.96293,0.98413,0.76806,0.75096,0.41652,0.87953,0,0.00012872,0.00012872,0.00012872,0.03218,-0.03218,0.3,0.172772,2.92339,-20.4303,20.187
38,648.505,0.89417,0.52213,0.90127,2.37731,0.97589,0.96089,0.98434,0.74948,0.81829,0.44292,0.89638,0,0.00012674,0.00012674,0.00012674,0.031685,-0.031685,0.3,0.17344,2.95762,-20.7962,20.4937
39,665.652,0.87631,0.52127,0.89585,2.29047,0.96985,0.97103,0.98831,0.78221,0.71801,0.40842,0.87453,0,0.00012476,0.00012476,0.00012476,0.03119,-0.03119,0.3,0.174024,2.98873,-21.1282,20.7716
40,682.201,0.87773,0.51113,0.89618,2.28524,0.9755,0.96345,0.98755,0.77654,0.73521,0.4099,0.87565,0,0.00012278,0.00012278,0.00012278,0.030695,-0.030695,0.3,0.174677,3.02085,-21.4817,21.0671
41,698.94,0.87946,0.51233,0.89669,2.255,0.97259,0.96847,0.9821,0.71252,0.92076,0.46351,0.91173,0,0.0001208,0.0001208,0.0001208,0.0302,-0.0302,0.3,0.175591,3.04154,-21.8021,21.3345
42,715.817,0.88754,0.51909,0.89693,2.22105,0.97014,0.9621,0.98051,0.72081,0.86414,0.44704,0.89999,0,0.00011882,0.00011882,0.00011882,0.029705,-0.029705,0.3,0.177045,3.04934,-22.1422,21.6174
43,732.692,0.86815,0.50846,0.89723,2.17058,0.96899,0.9657,0.98532,0.7677,0.7569,0.42648,0.87958,0,0.00011684,0.00011684,0.00011684,0.02921,-0.02921,0.3,0.178498,3.0501,-22.4489,21.8708
44,749.354,0.89042,0.51759,0.89637,2.18204,0.97767,0.96191,0.98465,0.76182,0.7676,0.4181,0.88046,0,0.00011486,0.00011486,0.00011486,0.028715,-0.028715,0.3,0.179604,3.06124,-22.773,22.1366
45,766.024,0.87566,0.51543,0.89491,2.06172,0.96601,0.9706,0.98641,0.76939,0.75321,0.41012,0.87981,0,0.00011288,0.00011288,0.00011288,0.02822,-0.02822,0.3,0.180463,3.07582,-23.0654,22.3749
46,783.171,0.89901,0.52177,0.89944,2.09378,0.96964,0.95953,0.98277,0.71152,0.91204,0.45329,0.9081,0,0.0001109,0.0001109,0.0001109,0.027725,-0.027725,0.3,0.181453,3.08808,-23.3753,22.6264
47,800.276,0.89532,0.5107,0.90075,2.05881,0.97073,0.96522,0.98361,0.72111,0.89017,0.4443,0.9052,0,0.00010892,0.00010892,0.00010892,0.02723,-0.02723,0.3,0.182331,3.09905,-23.655,22.8525
48,816.911,0.87821,0.51303,0.89008,2.06754,0.97211,0.96444,0.98245,0.7329,0.84863,0.43548,0.89817,0,0.00010694,0.00010694,0.00010694,0.026735,-0.026735,0.3,0.183293,3.10923,-23.9514,23.091
49,833.567,0.90268,0.52057,0.89698,2.05264,0.976,0.96648,0.98386,0.77474,0.71582,0.39922,0.87185,0,0.00010496,0.00010496,0.00010496,0.02624,-0.02624,0.3,0.184236,3.11579,-24.2189,23.3052
50,850.055,0.85938,0.50615,0.8939,2.00778,0.96807,0.96982,0.98492,0.77674,0.72962,0.40302,0.87324,0,0.00010298,0.00010298,0.00010298,0.025745,-0.025745,0.3,0.185584,3.11201,-24.5018,23.5308
51,866.844,0.86097,0.498,0.8926,1.95815,0.96949,0.96972,0.9838,0.76842,0.75241,0.41278,0.87878,0,0.000101,0.000101,0.000101,0.02525,-0.02525,0.3,0.186846,3.10552,-24.7563,23.7322
52,883.667,0.87217,0.51395,0.89378,1.9505,0.96909,0.96853,0.98448,0.74556,0.83542,0.43001,0.89743,0,9.902e-05,9.902e-05,9.902e-05,0.024755,-0.024755,0.3,0.188036,3.10216,-25.0247,23.943
53,900.535,0.87338,0.51042,0.8957,1.94326,0.97384,0.96534,0.98671,0.77225,0.74469,0.40498,0.87726,0,9.704e-05,9.704e-05,9.704e-05,0.02426,-0.02426,0.3,0.189037,3.10078,-25.266,24.1312
54,917.032,0.86889,0.50199,0.89292,1.9057,0.97106,0.96618,0.98343,0.77052,0.7351,0.40737,0.87644,0,9.506e-05,9.506e-05,9.506e-05,0.023765,-0.023765,0.3,0.189975,3.10201,-25.5207,24.3287
55,933.373,0.85473,0.4999,0.88996,1.89629,0.96609,0.97065,0.98365,0.77442,0.72085,0.3992,0.87332,0,9.308e-05,9.308e-05,9.308e-05,0.02327,-0.02327,0.3,0.190671,3.10764,-25.7499,24.5055
56,950.312,0.85818,0.49934,0.89474,1.86795,0.96247,0.97508,0.9846,0.75753,0.78933,0.41481,0.8824,0,9.11e-05,9.11e-05,9.11e-05,0.022775,-0.022775,0.3,0.191443,3.11252,-25.9922,24.6918
57,967.164,0.86903,0.50262,0.89414,1.86726,0.97025,0.96654,0.98378,0.75542,0.79155,0.42147,0.88543,0,8.912e-05,8.912e-05,8.912e-05,0.02228,-0.02228,0.3,0.192293,3.11153,-26.2104,24.8589
58,983.816,0.86551,0.49916,0.88877,1.85364,0.97323,0.96424,0.98323,0.74971,0.82386,0.42059,0.89288,0,8.714e-05,8.714e-05,8.714e-05,0.021785,-0.021785,0.3,0.193243,3.10845,-26.4407,25.0344
59,1000.65,0.85466,0.49859,0.89246,1.80144,0.97299,0.9637,0.98479,0.77607,0.73067,0.39516,0.87633,0,8.516e-05,8.516e-05,8.516e-05,0.02129,-0.02129,0.3,0.194257,3.10039,-26.6475,25.1913
60,1016.4,0.86154,0.49531,0.89173,1.8213,0.97155,0.96569,0.98418,0.76078,0.76967,0.41053,0.88019,0,8.318e-05,8.318e-05,8.318e-05,0.020795,-0.020795,0.3,0.19537,3.08922,-26.8652,25.3554
