epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_penalty,gated/lambda1,gated/lambda2
1,20.4838,1.02295,0.68464,0.93256,17.5847,0.78862,0.84219,0.89395,0.34261,2.042,2.54822,1.39379,0,6.4e-05,6.4e-05,0.068064,0.0064,-0.0064,0.06,0.00407018,0.00418924,-0.0773326,0.0773317
2,37.0279,1.00184,0.65687,0.92345,13.7319,0.9433,0.9174,0.9695,0.7256,0.81366,0.62197,0.89374,0,0.000129373,0.000129373,0.034796,0.0129373,-0.0129373,0.12,0.00411437,0.0337535,-0.275998,0.282101
3,53.1973,0.99591,0.6487,0.92481,12.7171,0.97031,0.93411,0.97855,0.69908,0.94405,0.53986,0.91979,0,0.000193426,0.000193426,0.00152676,0.0193426,-0.0193426,0.18,0.00413337,0.105459,-0.531637,0.560554
4,69.3947,0.98229,0.63827,0.923,11.4821,0.95703,0.9557,0.97976,0.73214,0.85803,0.52234,0.9024,0,0.00019406,0.00019406,0.00019406,0.019406,-0.019406,0.24,0.00417528,0.25547,-0.891471,0.962855
5,85.9837,1.01676,0.65342,0.93098,10.5879,0.96707,0.96036,0.98328,0.74921,0.80384,0.49377,0.89917,0,0.00019208,0.00019208,0.00019208,0.019208,-0.019208,0.3,0.00427942,0.472683,-1.23606,1.35506
6,102.477,0.9886,0.62896,0.92896,9.52566,0.97441,0.94719,0.98418,0.73874,0.80973,0.49333,0.89524,0,0.0001901,0.0001901,0.0001901,0.01901,-0.01901,0.3,0.00451646,0.61495,-1.59679,1.76003
7,119.03,0.98539,0.63319,0.93188,8.52211,0.96324,0.95481,0.98314,0.74835,0.81191,0.49903,0.89978,0,0.00018812,0.00018812,0.00018812,0.018812,-0.018812,0.3,0.00491918,0.736562,-1.90889,2.10239
8,135.854,0.99031,0.64466,0.92899,7.76061,0.97108,0.95904,0.98472,0.7551,0.79363,0.47215,0.89311,0,0.00018614,0.00018614,0.00018614,0.018614,-0.018614,0.3,0.00568344,0.858439,-2.22758,2.44546
9,152.697,0.99374,0.63408,0.92299,7.11984,0.96802,0.9578,0.98211,0.74301,0.82869,0.48852,0.89955,0,0.00018416,0.00018416,0.00018416,0.018416,-0.018416,0.3,0.0069182,0.962137,-2.50738,2.74225
10,169.792,0.98057,0.61731,0.92509,6.43982,0.9665,0.95686,0.98301,0.73762,0.84753,0.50817,0.90685,0,0.00018218,0.00018218,0.00018218,0.018218,-0.018218,0.3,0.00915654,1.06404,-2.79769,3.04642
11,186.371,0.97131,0.61147,0.92515,5.97415,0.96949,0.962,0.98459,0.75773,0.78446,0.47502,0.89091,0,0.0001802,0.0001802,0.0001802,0.01802,-0.01802,0.3,0.0127409,1.14504,-3.05532,3.31312
12,203.04,1.02004,0.64113,0.92938,5.67177,0.97562,0.95582,0.98586,0.75968,0.78209,0.47428,0.88829,0,0.00017822,0.00017822,0.00017822,0.017822,-0.017822,0.3,0.0187442,1.21416,-3.32377,3.5871
13,220.377,1.00283,0.61984,0.92755,5.3277,0.97408,0.95974,0.98614,0.76148,0.78223,0.46036,0.8883,0,0.00017624,0.00017624,0.00017624,0.017624,-0.017624,0.3,0.0271027,1.25491,-3.56158,3.82537
14,237.412,0.97086,0.60725,0.92284,5.06194,0.96915,0.96511,0.98348,0.76226,0.76548,0.46364,0.88213,0,0.00017426,0.00017426,0.00017426,0.017426,-0.017426,0.3,0.0404186,1.26313,-3.80731,4.06518
15,254.155,0.97884,0.61609,0.91647,4.76745,0.97332,0.96024,0.98386,0.74064,0.82326,0.47569,0.89823,0,0.00017228,0.00017228,0.00017228,0.017228,-0.017228,0.3,0.0562681,1.23673,-4.02143,4.26633
16,270.748,0.97838,0.60204,0.92064,4.58001,0.97681,0.95639,0.98347,0.75114,0.83995,0.50359,0.90227,0,0.0001703,0.0001703,0.0001703,0.01703,-0.01703,0.3,0.0732026,1.19421,-4.2381,4.4598
17,287.241,0.95261,0.59496,0.91562,4.37082,0.96989,0.96163,0.98267,0.74357,0.83409,0.48884,0.89747,0,0.00016832,0.00016832,0.00016832,0.016832,-0.016832,0.3,0.086368,1.15534,-4.40912,4.60435
18,304.022,0.96189,0.59527,0.91789,4.25898,0.96617,0.96948,0.98667,0.76181,0.78,0.46073,0.88988,0,0.00016634,0.00016634,0.00016634,0.016634,-0.016634,0.3,0.0990941,1.11809,-4.598,4.75542
19,320.773,0.93956,0.58412,0.91391,4.06709,0.96427,0.96689,0.98357,0.72995,0.88674,0.50297,0.91266,0,0.00016436,0.00016436,0.00016436,0.016436,-0.016436,0.3,0.108225,1.09407,-4.76178,4.87974
20,337.497,0.94656,0.57951,0.9143,3.90706,0.96326,0.96947,0.98322,0.75821,0.78519,0.46395,0.88921,0,0.00016238,0.00016238,0.00016238,0.016238,-0.016238,0.3,0.115439,1.08102,-4.93023,5.00224
21,353.983,0.94998,0.58371,0.91641,3.82685,0.96637,0.9639,0.98168,0.68248,1.00883,0.52589,0.93968,0,0.0001604,0.0001604,0.0001604,0.01604,-0.01604,0.3,0.120656,1.07532,-5.0794,5.10718
22,370.785,0.95944,0.60029,0.91552,3.67376,0.97117,0.96315,0.98344,0.76369,0.76448,0.45175,0.88032,0,0.00015842,0.00015842,0.00015842,0.015842,-0.015842,0.3,0.124985,1.07569,-5.23572,5.21446
23,387.431,0.93332,0.58028,0.90478,3.58926,0.9783,0.95934,0.98675,0.76895,0.75614,0.43428,0.88214,0,0.00015644,0.00015644,0.00015644,0.015644,-0.015644,0.3,0.127877,1.08199,-5.37622,5.30915
24,404.205,0.94484,0.56372,0.91028,3.46158,0.96527,0.9641,0.98075,0.61463,1.23826,0.5574,0.99499,0,0.00015446,0.00015446,0.00015446,0.015446,-0.015446,0.3,0.13049,1.09112,-5.52526,5.40836
25,420.924,0.97079,0.56579,0.91262,3.37809,0.97326,0.95937,0.97973,0.72604,0.87333,0.4623,0.90246,0,0.00015248,0.00015248,0.00015248,0.015248,-0.015248,0.3,0.132146,1.10384,-5.66042,5.49756
26,437.671,0.91275,0.56133,0.90283,3.21917,0.97329,0.96588,0.98657,0.76025,0.77028,0.4481,0.88569,0,0.0001505,0.0001505,0.0001505,0.01505,-0.01505,0.3,0.133713,1.11879,-5.80477,5.59237
27,454.482,0.93328,0.56874,0.90537,3.16415,0.97191,0.95836,0.98112,0.72004,0.90574,0.48048,0.91007,0,0.00014852,0.00014852,0.00014852,0.014852,-0.014852,0.3,0.135009,1.13279,-5.93632,5.6785
28,471.016,0.91559,0.55613,0.90457,3.06929,0.97078,0.96309,0.98404,0.754,0.78907,0.44512,0.88604,0,0.00014654,0.00014654,0.00014654,0.014654,-0.014654,0.3,0.136192,1.14903,-6.07711,5.77052
29,487.537,0.91889,0.56115,0.90618,3.02692,0.97572,0.96407,0.98388,0.76997,0.73618,0.44084,0.87764,0,0.00014456,0.00014456,0.00014456,0.014456,-0.014456,0.3,0.137096,1.16488,-6.20559,5.85442
30,504.073,0.92405,0.56816,0.9078,2.9481,0.97524,0.96477,0.98441,0.75721,0.789,0.44086,0.8901,0,0.00014258,0.00014258,0.00014258,0.014258,-0.014258,0.3,0.13784,1.1835,-6.3433,5.94437
31,520.697,0.95312,0.56,0.90592,2.8818,0.96672,0.96542,0.98025,0.74744,0.80176,0.44519,0.89052,0,0.0001406,0.0001406,0.0001406,0.01406,-0.01406,0.3,0.138387,1.20136,-6.46915,6.02669
32,537.082,0.91791,0.552,0.90576,2.76487,0.97205,0.9668,0.98352,0.76118,0.76629,0.43218,0.88206,0,0.00013862,0.00013862,0.00013862,0.013862,-0.013862,0.3,0.138916,1.22098,-6.60418,6.1152
33,553.892,0.90342,0.54392,0.90444,2.75081,0.96404,0.97287,0.98566,0.77586,0.73272,0.42614,0.87662,0,0.00013664,0.00013664,0.00013664,0.013664,-0.013664,0.3,0.139375,1.23898,-6.72763,6.19634
34,570.42,0.91146,0.54825,0.90441,2.74117,0.96704,0.96396,0.98357,0.75574,0.79342,0.44251,0.88532,0,0.00013466,0.00013466,0.00013466,0.013466,-0.013466,0.3,0.139796,1.25874,-6.86007,6.28362
35,587.003,0.91096,0.5454,0.90549,2.62848,0.97595,0.95774,0.98498,0.77154,0.74477,0.42799,0.87722,0,0.00013268,0.00013268,0.00013268,0.013268,-0.013268,0.3,0.140132,1.27714,-6.98112,6.36364
36,603.609,0.92545,0.54917,0.89932,2.65112,0.96491,0.96637,0.98304,0.69743,0.94811,0.46732,0.91379,0,0.0001307,0.0001307,0.0001307,0.01307,-0.01307,0.3,0.140417,1.29747,-7.11094,6.44976
37,620.482,0.90412,0.53845,0.89702,2.53335,0.96891,0.96631,0.98415,0.76939,0.75616,0.42132,0.88001,0,0.00012872,0.00012872,0.00012872,0.012872,-0.012872,0.3,0.140654,1.31621,-7.22957,6.52874
38,636.978,0.90419,0.53489,0.90278,2.51446,0.97994,0.95694,0.98298,0.75738,0.7863,0.43465,0.88916,0,0.00012674,0.00012674,0.00012674,0.012674,-0.012674,0.3,0.140904,1.33628,-7.35676,6.61374
39,653.836,0.89711,0.5414,0.90035,2.45292,0.9681,0.96861,0.98805,0.78012,0.73425,0.41179,0.87557,0,0.00012476,0.00012476,0.00012476,0.012476,-0.012476,0.3,0.141121,1.35467,-7.47291,6.69166
40,670.63,0.89497,0.5266,0.89951,2.43491,0.96588,0.9711,0.9878,0.77407,0.74424,0.41192,0.87552,0,0.00012278,0.00012278,0.00012278,0.012278,-0.012278,0.3,0.141344,1.37439,-7.59735,6.77546
41,687.507,0.89513,0.5292,0.89929,2.40073,0.97306,0.96842,0.98193,0.71097,0.91381,0.46892,0.9101,0,0.0001208,0.0001208,0.0001208,0.01208,-0.01208,0.3,0.141529,1.39253,-7.7109,6.85222
42,703.884,0.90158,0.53399,0.9004,2.36331,0.96719,0.96454,0.98234,0.71336,0.88864,0.45458,0.90443,0,0.00011882,0.00011882,0.00011882,0.011882,-0.011882,0.3,0.14172,1.41196,-7.83245,6.93471
43,720.622,0.88097,0.52156,0.89961,2.29999,0.96455,0.96889,0.98507,0.76213,0.76279,0.42894,0.87975,0,0.00011684,0.00011684,0.00011684,0.011684,-0.011684,0.3,0.141904,1.42956,-7.94328,7.01021
44,737.292,0.90007,0.53119,0.89836,2.32333,0.97941,0.9603,0.98442,0.76563,0.75992,0.41677,0.87879,0,0.00011486,0.00011486,0.00011486,0.011486,-0.011486,0.3,0.142084,1.44846,-8.06183,7.09127
45,754.334,0.89001,0.52962,0.89792,2.19715,0.97503,0.96319,0.98694,0.7663,0.7685,0.41702,0.88226,0,0.00011288,0.00011288,0.00011288,0.011288,-0.011288,0.3,0.14224,1.46577,-8.16983,7.1654
46,771.129,0.91344,0.53565,0.90259,2.22823,0.96301,0.96758,0.98263,0.71632,0.89667,0.4553,0.90512,0,0.0001109,0.0001109,0.0001109,0.01109,-0.01109,0.3,0.142419,1.48408,-8.28525,7.24492
47,787.866,0.91157,0.52375,0.90355,2.18651,0.96893,0.96439,0.9836,0.72727,0.87625,0.4409,0.90225,0,0.00010892,0.00010892,0.00010892,0.010892,-0.010892,0.3,0.142585,1.50071,-8.3903,7.31756
48,804.486,0.89254,0.52648,0.89301,2.21121,0.9702,0.96318,0.98369,0.73964,0.8349,0.43497,0.89467,0,0.00010694,0.00010694,0.00010694,0.010694,-0.010694,0.3,0.142777,1.51826,-8.50247,7.39539
49,821.049,0.9166,0.53704,0.89957,2.18296,0.97696,0.96524,0.98404,0.77526,0.71848,0.40341,0.87086,0,0.00010496,0.00010496,0.00010496,0.010496,-0.010496,0.3,0.142962,1.53404,-8.60445,7.46641
50,837.821,0.87944,0.5215,0.89778,2.1527,0.97129,0.96864,0.9864,0.77266,0.74776,0.40964,0.87678,0,0.00010298,0.00010298,0.00010298,0.010298,-0.010298,0.3,0.143189,1.55054,-8.71322,7.5424
51,854.421,0.87611,0.51426,0.89486,2.09228,0.96786,0.97241,0.98439,0.77216,0.73642,0.4074,0.87459,0,0.000101,0.000101,0.000101,0.0101,-0.0101,0.3,0.143416,1.56523,-8.812,7.61163
52,871.075,0.89328,0.52919,0.89711,2.08731,0.972,0.96604,0.9848,0.77116,0.76326,0.41211,0.88211,0,9.902e-05,9.902e-05,9.902e-05,0.009902,-0.009902,0.3,0.143657,1.58082,-8.91722,7.6856
53,887.87,0.88822,0.52528,0.89864,2.07375,0.97483,0.96572,0.98668,0.77225,0.73281,0.40592,0.87493,0,9.704e-05,9.704e-05,9.704e-05,0.009704,-0.009704,0.3,0.14389,1.59476,-9.01267,7.75288
54,904.728,0.88311,0.51565,0.89527,2.0376,0.97371,0.96156,0.98448,0.76716,0.74505,0.4132,0.87678,0,9.506e-05,9.506e-05,9.506e-05,0.009506,-0.009506,0.3,0.14415,1.60938,-9.11423,7.82468
55,921.467,0.86811,0.51281,0.89246,2.02307,0.97036,0.96948,0.98323,0.77273,0.73271,0.40217,0.87478,0,9.308e-05,9.308e-05,9.308e-05,0.009308,-0.009308,0.3,0.144378,1.62266,-9.20626,7.88991
56,937.741,0.87193,0.5121,0.89647,1.98998,0.96526,0.97186,0.98503,0.74698,0.82177,0.42322,0.88759,0,9.11e-05,9.11e-05,9.11e-05,0.00911,-0.00911,0.3,0.14458,1.63719,-9.30408,7.95943
