epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_loss,gated/lambda1,gated/lambda2
26,379.54,0.91306,0.56219,0.90272,3.21583,0.97459,0.96575,0.98663,0.76475,0.76418,0.44553,0.88498,0,0.0001505,0.0001505,0.0001505,0.01505,-0.01505,0.1,0.0285709,0.481614,-6.28466,6.41072
27,394.178,0.93419,0.56885,0.90568,3.15983,0.97186,0.96065,0.98169,0.73036,0.87319,0.47272,0.90265,0,0.00014852,0.00014852,0.00014852,0.014852,-0.014852,0.1,0.0300161,0.482388,-6.43741,6.53344
28,408.811,0.91661,0.55614,0.9045,3.06674,0.96578,0.96362,0.98368,0.75644,0.78482,0.44395,0.88539,0,0.00014654,0.00014654,0.00014654,0.014654,-0.014654,0.1,0.0313162,0.484408,-6.5982,6.66059
29,423.421,0.91929,0.56157,0.9064,3.02422,0.97694,0.96092,0.9841,0.76821,0.74089,0.44319,0.87938,0,0.00014456,0.00014456,0.00014456,0.014456,-0.014456,0.1,0.0322835,0.487342,-6.74284,6.77346
30,438.076,0.92416,0.56844,0.90785,2.94391,0.97116,0.96656,0.98378,0.75526,0.80199,0.44554,0.89323,0,0.00014258,0.00014258,0.00014258,0.014258,-0.014258,0.1,0.0330876,0.491924,-6.89601,6.89179
31,452.636,0.95357,0.56088,0.90587,2.87759,0.97462,0.96063,0.98026,0.74784,0.79952,0.44365,0.88922,0,0.0001406,0.0001406,0.0001406,0.01406,-0.01406,0.1,0.0336967,0.496737,-7.03459,6.99809
32,467.228,0.91854,0.55198,0.90532,2.75909,0.97257,0.96766,0.98517,0.76272,0.76046,0.43232,0.88081,0,0.00013862,0.00013862,0.00013862,0.013862,-0.013862,0.1,0.0343122,0.502028,-7.18202,7.1106
33,481.854,0.90356,0.54382,0.90418,2.74449,0.96732,0.96858,0.98593,0.77741,0.73005,0.42331,0.87557,0,0.00013664,0.00013664,0.00013664,0.013664,-0.013664,0.1,0.0348437,0.50688,-7.31578,7.21227
34,496.464,0.91251,0.54879,0.9045,2.73614,0.97167,0.96009,0.9833,0.75442,0.80124,0.44533,0.88732,0,0.00013466,0.00013466,0.00013466,0.013466,-0.013466,0.1,0.0353521,0.512326,-7.45824,7.32017
35,511.298,0.91232,0.54592,0.90585,2.62202,0.96577,0.97034,0.98694,0.77167,0.74818,0.43218,0.87814,0,0.00013268,0.00013268,0.00013268,0.013268,-0.013268,0.1,0.0357906,0.517353,-7.58759,7.41786
36,525.966,0.92548,0.54872,0.89935,2.64469,0.96128,0.96971,0.98296,0.69613,0.95101,0.46876,0.91453,0,0.0001307,0.0001307,0.0001307,0.01307,-0.01307,0.1,0.0362052,0.523029,-7.72547,7.52177
37,540.807,0.9047,0.5389,0.897,2.52798,0.97022,0.96532,0.98462,0.76756,0.76267,0.42355,0.88145,0,0.00012872,0.00012872,0.00012872,0.012872,-0.012872,0.1,0.0365756,0.528145,-7.85074,7.61601
