model,params,engine_size_mb,forward_mean_ms,forward_median_ms,forward_p95_ms,forward_fps,e2e_mean_ms,e2e_median_ms,e2e_p95_ms,e2e_fps,precision,recall,mAP50,mAP50-95
baseline,3012018,7.479496002197266,1.7797004398380523,1.579679999849759,3.090343001531437,561.8923149173336,4.958749659999739,4.938042999128811,5.395080999733182,201.66373956455237,0.9674716233777355,0.9618301162915687,0.9836255073863306,0.7857194867526606
halp_m05,2690674,7.010778427124023,1.8384855347903795,1.6052354985731654,3.098350003710948,543.9259548561083,4.607983939968108,4.5327139960136265,5.142404553043889,217.01464523917613,0.9348960926636888,0.8894817781640816,0.9634236008531114,0.6560128507209141
