epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
39,451.11,1.29532,0.98086,1.02712,6.20694,0.88049,0.83088,0.90734,0.60372,1.15572,0.86839,1.02653,0,0.000687222,0.000687222,0.000687222
40,462.351,1.27346,0.95664,1.01966,6.07282,0.88781,0.8079,0.90251,0.5899,1.19241,0.87851,1.03341,0,0.000672675,0.000672675,0.000672675
41,474.578,1.23192,0.93539,1.00826,5.87182,0.92149,0.80606,0.91184,0.59828,1.17142,0.87475,1.01155,0,0.000657963,0.000657963,0.000657963
42,485.833,1.29356,0.95542,1.02597,6.08196,0.90669,0.82581,0.91847,0.6384,1.08565,0.80494,1.00156,0,0.000643101,0.000643101,0.000643101
43,497.73,1.24569,0.94039,1.01991,5.85739,0.88419,0.84478,0.91127,0.61729,1.11737,0.82727,1.00864,0,0.000628101,0.000628101,0.000628101
44,509.564,1.20818,0.91387,1.00508,5.71408,0.93191,0.83544,0.92747,0.64266,1.08908,0.77665,0.99832,0,0.000612981,0.000612981,0.000612981
45,520.753,1.24039,0.90628,1.01259,5.70701,0.88754,0.83426,0.90374,0.59867,1.1621,0.85633,1.02198,0,0.000597754,0.000597754,0.000597754
46,531.878,1.26337,0.90753,1.0113,5.75608,0.90747,0.83403,0.9178,0.6497,1.03889,0.79725,0.98415,0,0.000582435,0.000582435,0.000582435
47,543.305,1.23201,0.88902,1.00785,5.62199,0.92277,0.82894,0.92053,0.6425,1.07005,0.80687,0.98538,0,0.00056704,0.00056704,0.00056704
48,555.228,1.27161,0.89708,1.01551,5.63496,0.92426,0.85113,0.93605,0.6406,1.11535,0.76409,1.0069,0,0.000551584,0.000551584,0.000551584
49,567.06,1.22453,0.87966,0.99996,5.52667,0.93778,0.85449,0.93456,0.62775,1.12413,0.76777,1.00122,0,0.000536081,0.000536081,0.000536081
50,578.128,1.21872,0.88378,1.00451,5.47635,0.90879,0.84579,0.92772,0.65736,1.03703,0.75708,0.97139,0,0.000520548,0.000520548,0.000520548
51,589.995,1.17824,0.86225,0.99197,5.37867,0.9062,0.85763,0.93254,0.64939,1.07912,0.75591,0.9916,0,0.000505,0.000505,0.000505
52,601.397,1.19683,0.8565,0.99251,5.36611,0.8906,0.85697,0.92553,0.63914,1.08199,0.75462,0.99807,0,0.000489452,0.000489452,0.000489452
53,612.329,1.19943,0.85356,1.00456,5.2509,0.91481,0.86239,0.94008,0.65577,1.04504,0.73553,0.97986,0,0.000473919,0.000473919,0.000473919
54,624.59,1.17733,0.85492,0.98742,5.26883,0.91194,0.84808,0.93493,0.65175,1.05624,0.77322,0.97429,0,0.000458416,0.000458416,0.000458416
55,636.683,1.17543,0.84121,0.99006,5.23223,0.91062,0.88073,0.94199,0.63318,1.12881,0.7439,0.98702,0,0.00044296,0.00044296,0.00044296
56,648.153,1.18919,0.82138,0.99734,5.20698,0.94027,0.84757,0.94183,0.66879,1.01006,0.71733,0.96335,0,0.000427565,0.000427565,0.000427565
57,659.626,1.19503,0.83931,0.99575,5.28119,0.92155,0.85966,0.93564,0.65693,1.03947,0.72087,0.96872,0,0.000412246,0.000412246,0.000412246
58,670.807,1.23305,0.84358,0.99569,5.29093,0.9365,0.86408,0.94313,0.66995,1.02306,0.70242,0.96674,0,0.000397019,0.000397019,0.000397019
59,682.68,1.1575,0.79571,0.98535,5.02786,0.93327,0.87042,0.94051,0.61334,1.18396,0.72057,1.01657,0,0.000381899,0.000381899,0.000381899
60,693.57,1.19002,0.81201,0.9882,5.12433,0.93639,0.85332,0.93488,0.53793,1.40877,0.77501,1.09571,0,0.000366899,0.000366899,0.000366899
61,705.317,1.16702,0.80812,0.97997,5.07385,0.8955,0.86613,0.92845,0.55512,1.33269,0.77658,1.06898,0,0.000352037,0.000352037,0.000352037
62,716.985,1.15655,0.81535,0.98041,5.09628,0.91661,0.86653,0.93702,0.63684,1.09971,0.69964,0.99401,0,0.000337325,0.000337325,0.000337325
63,728.101,1.18038,0.81391,0.97762,5.03303,0.92738,0.87255,0.94344,0.67163,1.00768,0.68731,0.96206,0,0.000322778,0.000322778,0.000322778
64,740.697,1.14959,0.79585,0.97164,5.03483,0.92675,0.88555,0.94886,0.69714,0.95174,0.65901,0.94552,0,0.000308412,0.000308412,0.000308412
65,751.592,1.1504,0.81029,0.98057,5.00419,0.94662,0.86923,0.94729,0.69283,0.95995,0.66477,0.94905,0,0.000294239,0.000294239,0.000294239
66,762.843,1.12077,0.76325,0.97344,4.85767,0.9262,0.88723,0.95134,0.6944,0.9572,0.65495,0.95088,0,0.000280275,0.000280275,0.000280275
67,774.669,1.13338,0.77765,0.97486,4.85842,0.9194,0.89231,0.95239,0.69145,0.95929,0.65471,0.94628,0,0.000266532,0.000266532,0.000266532
68,786.08,1.12955,0.77617,0.97139,4.8529,0.93592,0.8928,0.95435,0.70204,0.93796,0.63428,0.94433,0,0.000253024,0.000253024,0.000253024
69,798.279,1.13725,0.77047,0.97347,4.80122,0.93672,0.86835,0.94625,0.65949,1.05001,0.66985,0.97317,0,0.000239766,0.000239766,0.000239766
70,809.365,1.12378,0.76785,0.96519,4.8499,0.93532,0.89082,0.95472,0.69637,0.9621,0.64293,0.94456,0,0.000226769,0.000226769,0.000226769
71,821.57,1.12371,0.76744,0.9683,4.77244,0.94786,0.87461,0.95521,0.69926,0.96263,0.64147,0.94588,0,0.000214046,0.000214046,0.000214046
72,832.36,1.12159,0.75836,0.96975,4.78694,0.9402,0.89281,0.95892,0.70706,0.94409,0.6189,0.93981,0,0.000201611,0.000201611,0.000201611
73,843.834,1.13262,0.76304,0.97455,4.74867,0.92163,0.89593,0.95763,0.68721,0.99432,0.63504,0.95254,0,0.000189475,0.000189475,0.000189475
74,855.498,1.15122,0.75992,0.97842,4.78387,0.91647,0.89398,0.94976,0.64628,1.09821,0.65793,0.98981,0,0.000177651,0.000177651,0.000177651
75,867.193,1.12725,0.76784,0.96989,4.8235,0.94639,0.88991,0.95619,0.65729,1.08945,0.64463,0.98054,0,0.000166149,0.000166149,0.000166149
76,878.619,1.12673,0.75408,0.97423,4.72728,0.94787,0.88332,0.95813,0.70144,0.95597,0.62354,0.94031,0,0.000154982,0.000154982,0.000154982
77,890.074,1.10931,0.74796,0.9649,4.6627,0.95671,0.88199,0.96145,0.70792,0.94634,0.61341,0.94062,0,0.000144161,0.000144161,0.000144161
78,901.978,1.11005,0.75658,0.95652,4.67168,0.94501,0.89276,0.95912,0.69439,0.9763,0.62348,0.94639,0,0.000133695,0.000133695,0.000133695
79,913.826,1.10259,0.74548,0.96771,4.62983,0.94548,0.89398,0.96004,0.70154,0.96057,0.62015,0.94317,0,0.000123596,0.000123596,0.000123596
80,925.614,1.13259,0.75092,0.96832,4.69203,0.94565,0.88384,0.95748,0.67211,1.04628,0.64551,0.96411,0,0.000113873,0.000113873,0.000113873
81,937.487,1.13968,0.7531,0.96287,4.71741,0.94455,0.89418,0.95915,0.69801,0.96351,0.62375,0.9434,0,0.000104537,0.000104537,0.000104537
82,948.559,1.10081,0.74407,0.96441,4.62097,0.94602,0.89652,0.95908,0.70632,0.95041,0.61772,0.93942,0,9.55951e-05,9.55951e-05,9.55951e-05
83,960.165,1.10405,0.75068,0.96256,4.62737,0.94088,0.89737,0.96043,0.70553,0.94664,0.61231,0.94011,0,8.70577e-05,8.70577e-05,8.70577e-05
84,972.2,1.08922,0.73074,0.95247,4.60636,0.9407,0.89827,0.96127,0.69803,0.96473,0.61409,0.94646,0,7.89327e-05,7.89327e-05,7.89327e-05
85,983.264,1.10309,0.73821,0.95866,4.59965,0.94025,0.89335,0.95964,0.69267,0.96755,0.6121,0.94573,0,7.12282e-05,7.12282e-05,7.12282e-05
86,994.806,1.07664,0.72672,0.95699,4.59213,0.93809,0.89941,0.95913,0.69648,0.96716,0.61495,0.94677,0,6.39518e-05,6.39518e-05,6.39518e-05
87,1006.12,1.09176,0.73577,0.95715,4.61931,0.93773,0.90649,0.96069,0.71022,0.93569,0.60458,0.93743,0,5.71106e-05,5.71106e-05,5.71106e-05
88,1018.2,1.07573,0.7254,0.95889,4.51028,0.95063,0.89634,0.96138,0.70368,0.95207,0.60715,0.94263,0,5.07115e-05,5.07115e-05,5.07115e-05
89,1029.08,1.11046,0.73975,0.96175,4.63499,0.94734,0.89746,0.96117,0.70497,0.94573,0.60387,0.94024,0,4.47606e-05,4.47606e-05,4.47606e-05
90,1040.72,1.08369,0.73671,0.96007,4.61392,0.94058,0.89926,0.9602,0.70173,0.94748,0.60772,0.93991,0,3.9264e-05,3.9264e-05,3.9264e-05
91,1057.54,1.06016,0.69546,0.97995,4.71024,0.95242,0.88182,0.95445,0.64958,1.08733,0.64052,0.97772,0,3.4227e-05,3.4227e-05,3.4227e-05
92,1067.85,1.06851,0.66784,0.97382,4.53963,0.94638,0.88318,0.95274,0.64845,1.08772,0.64373,0.9785,0,2.96546e-05,2.96546e-05,2.96546e-05
93,1080.03,1.0173,0.64201,0.96807,4.41629,0.95113,0.88994,0.95789,0.70069,0.95698,0.61971,0.94429,0,2.55513e-05,2.55513e-05,2.55513e-05
94,1090.48,0.98672,0.63434,0.9619,4.37516,0.95727,0.88262,0.95876,0.67984,1.00773,0.62704,0.95631,0,2.19212e-05,2.19212e-05,2.19212e-05
95,1100.85,1.00811,0.63135,0.96009,4.35345,0.9459,0.89368,0.95768,0.69114,0.98062,0.62377,0.94936,0,1.87678e-05,1.87678e-05,1.87678e-05
96,1111.03,0.99547,0.62816,0.96121,4.30192,0.95219,0.89043,0.95827,0.70042,0.96202,0.61917,0.94445,0,1.60943e-05,1.60943e-05,1.60943e-05
97,1121.57,0.98749,0.62652,0.95797,4.29653,0.95048,0.89378,0.958,0.70027,0.96251,0.61881,0.94422,0,1.39032e-05,1.39032e-05,1.39032e-05
98,1131.88,1.00137,0.63242,0.96873,4.32783,0.94736,0.89557,0.95804,0.69742,0.96739,0.61959,0.94522,0,1.21968e-05,1.21968e-05,1.21968e-05
99,1142.12,1.00744,0.63085,0.96053,4.32348,0.95199,0.88989,0.95794,0.69978,0.95748,0.61788,0.94325,0,1.09768e-05,1.09768e-05,1.09768e-05
100,1152.65,0.98396,0.61606,0.9613,4.28303,0.95231,0.88857,0.95783,0.70264,0.95263,0.6159,0.94244,0,1.02443e-05,1.02443e-05,1.02443e-05
