epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_loss,gated/lambda1,gated/lambda2
26,432.072,0.91312,0.56128,0.9029,3.21315,0.97428,0.96353,0.98653,0.75683,0.7798,0.45113,0.88792,0,0.0001505,0.0001505,0.0001505,0.01505,-0.01505,0.1,0.0318923,0.452404,-6.21605,6.28356
27,448.546,0.93455,0.56876,0.90585,3.15764,0.9727,0.95819,0.98087,0.73,0.87131,0.47327,0.90196,0,0.00014852,0.00014852,0.00014852,0.014852,-0.014852,0.1,0.0331014,0.454223,-6.36459,6.39884
28,465.025,0.91701,0.55622,0.90485,3.06431,0.96544,0.96548,0.98375,0.75607,0.78337,0.44255,0.88487,0,0.00014654,0.00014654,0.00014654,0.014654,-0.014654,0.1,0.0342199,0.456953,-6.52146,6.519
29,481.467,0.91929,0.56127,0.90663,3.02149,0.9772,0.96263,0.98426,0.76875,0.74078,0.44056,0.87901,0,0.00014456,0.00014456,0.00014456,0.014456,-0.014456,0.1,0.0350913,0.460084,-6.66293,6.62618
30,498.049,0.92519,0.56796,0.90814,2.94168,0.97438,0.96453,0.98366,0.75906,0.78324,0.44088,0.88898,0,0.00014258,0.00014258,0.00014258,0.014258,-0.014258,0.1,0.0358339,0.464529,-6.813,6.73887
31,514.402,0.95402,0.56061,0.90614,2.87555,0.97472,0.95906,0.98035,0.75036,0.7934,0.44301,0.88797,0,0.0001406,0.0001406,0.0001406,0.01406,-0.01406,0.1,0.0363675,0.469434,-6.94893,6.84032
32,530.741,0.91802,0.55214,0.90555,2.75666,0.96967,0.96766,0.98315,0.7626,0.75967,0.43228,0.88148,0,0.00013862,0.00013862,0.00013862,0.013862,-0.013862,0.1,0.0369283,0.474648,-7.09372,6.94792
33,547.279,0.90326,0.54391,0.90454,2.74192,0.96866,0.96787,0.98569,0.77657,0.73473,0.4265,0.87736,0,0.00013664,0.00013664,0.00013664,0.013664,-0.013664,0.1,0.0374318,0.479261,-7.22519,7.0453
34,564.058,0.91215,0.54861,0.90517,2.73248,0.97141,0.95832,0.98332,0.75502,0.80053,0.44721,0.88761,0,0.00013466,0.00013466,0.00013466,0.013466,-0.013466,0.1,0.0379159,0.484417,-7.36531,7.14876
35,580.332,0.91163,0.54483,0.90636,2.61908,0.97521,0.95844,0.9851,0.77143,0.74508,0.42782,0.8781,0,0.00013268,0.00013268,0.00013268,0.013268,-0.013268,0.1,0.0383182,0.489292,-7.4926,7.2425
36,596.919,0.92593,0.54908,0.89958,2.64099,0.95955,0.97182,0.98288,0.69485,0.95491,0.47031,0.91594,0,0.0001307,0.0001307,0.0001307,0.01307,-0.01307,0.1,0.0386706,0.495014,-7.62837,7.34231
37,613.248,0.90468,0.53864,0.89739,2.52362,0.97326,0.96248,0.98459,0.7694,0.75548,0.42157,0.8801,0,0.00012872,0.00012872,0.00012872,0.012872,-0.012872,0.1,0.0389639,0.500384,-7.75184,7.433
38,630.046,0.90301,0.53504,0.903,2.50217,0.97708,0.9564,0.9841,0.75554,0.79118,0.43617,0.89021,0,0.00012674,0.00012674,0.00012674,0.012674,-0.012674,0.1,0.0392581,0.506193,-7.88365,7.52978
39,646.309,0.89711,0.542,0.9004,2.44038,0.97179,0.96621,0.98801,0.77843,0.73797,0.41126,0.87599,0,0.00012476,0.00012476,0.00012476,0.012476,-0.012476,0.1,0.0394943,0.511686,-8.00355,7.61782
40,662.733,0.89485,0.52716,0.89985,2.42252,0.96847,0.97126,0.98799,0.77451,0.7446,0.41404,0.87618,0,0.00012278,0.00012278,0.00012278,0.012278,-0.012278,0.1,0.0397207,0.517715,-8.13159,7.71188
41,679.336,0.8955,0.5288,0.90022,2.38885,0.97315,0.96928,0.98202,0.7076,0.92359,0.47303,0.91335,0,0.0001208,0.0001208,0.0001208,0.01208,-0.01208,0.1,0.0398928,0.523457,-8.24808,7.79754
42,696.031,0.90125,0.53404,0.90075,2.35115,0.96891,0.96453,0.98205,0.71496,0.88042,0.45588,0.9029,0,0.00011882,0.00011882,0.00011882,0.011882,-0.011882,0.1,0.0400486,0.529807,-8.37251,7.88915
43,712.72,0.88019,0.52107,0.8996,2.28722,0.96519,0.97082,0.98558,0.76254,0.76426,0.42998,0.88085,0,0.00011684,0.00011684,0.00011684,0.011684,-0.011684,0.1,0.0401798,0.535653,-8.48574,7.97268
44,729.314,0.8998,0.53172,0.89885,2.31076,0.97451,0.96173,0.98489,0.7658,0.75772,0.41703,0.87909,0,0.00011486,0.00011486,0.00011486,0.011486,-0.011486,0.1,0.0402899,0.542136,-8.60667,8.06207
45,745.677,0.88928,0.52928,0.89794,2.18492,0.97123,0.96652,0.98679,0.76752,0.76414,0.41523,0.88136,0,0.00011288,0.00011288,0.00011288,0.011288,-0.011288,0.1,0.0403706,0.548219,-8.71672,8.14362
46,762.339,0.9125,0.53547,0.90224,2.21595,0.96293,0.96506,0.98307,0.71325,0.90434,0.45625,0.90567,0,0.0001109,0.0001109,0.0001109,0.01109,-0.01109,0.1,0.0404432,0.55482,-8.83424,8.23093
47,778.47,0.91186,0.52304,0.90343,2.17508,0.96923,0.96381,0.98343,0.7274,0.87574,0.44288,0.90209,0,0.00010892,0.00010892,0.00010892,0.010892,-0.010892,0.1,0.0404965,0.560942,-8.94115,8.3106
48,795.33,0.89242,0.52588,0.89354,2.19913,0.96905,0.9644,0.98242,0.7405,0.83538,0.43472,0.89551,0,0.00010694,0.00010694,0.00010694,0.010694,-0.010694,0.1,0.0405478,0.567526,-9.05527,8.39591
49,811.665,0.91624,0.53697,0.90007,2.17093,0.97728,0.96507,0.98414,0.77464,0.71856,0.40386,0.87075,0,0.00010496,0.00010496,0.00010496,0.010496,-0.010496,0.1,0.0405922,0.573524,-9.15903,8.47372
50,828.229,0.87995,0.52201,0.89761,2.14125,0.97328,0.96799,0.98631,0.77474,0.74178,0.40882,0.87583,0,0.00010298,0.00010298,0.00010298,0.010298,-0.010298,0.1,0.0406423,0.579888,-9.2697,8.55698
51,844.698,0.87614,0.51442,0.89501,2.08003,0.96636,0.9728,0.98442,0.77403,0.73521,0.40718,0.87505,0,0.000101,0.000101,0.000101,0.0101,-0.0101,0.1,0.0406922,0.585617,-9.37023,8.63284
52,862.049,0.89251,0.52848,0.89775,2.07534,0.97343,0.96478,0.98484,0.76982,0.76815,0.41619,0.88302,0,9.902e-05,9.902e-05,9.902e-05,0.009902,-0.009902,0.1,0.0407462,0.591697,-9.47734,8.71392
53,878.45,0.88935,0.52547,0.89915,2.0628,0.97274,0.96823,0.98658,0.77397,0.72971,0.40714,0.87455,0,9.704e-05,9.704e-05,9.704e-05,0.009704,-0.009704,0.1,0.0407996,0.597164,-9.57454,8.78771
54,894.98,0.88275,0.51543,0.89552,2.02677,0.97653,0.96081,0.98448,0.76975,0.73424,0.41251,0.87521,0,9.506e-05,9.506e-05,9.506e-05,0.009506,-0.009506,0.1,0.0408673,0.602854,-9.67799,8.86646
55,911.386,0.86773,0.51276,0.89291,2.01221,0.97329,0.9674,0.98356,0.77504,0.72863,0.40143,0.87452,0,9.308e-05,9.308e-05,9.308e-05,0.009308,-0.009308,0.1,0.0409324,0.607959,-9.77174,8.93803
56,928.035,0.87133,0.51188,0.89675,1.98017,0.96347,0.9746,0.98487,0.7488,0.80966,0.42073,0.88614,0,9.11e-05,9.11e-05,9.11e-05,0.00911,-0.00911,0.1,0.0410042,0.613338,-9.8714,9.01429
57,944.632,0.88511,0.51743,0.89717,2.00389,0.9709,0.96769,0.98389,0.76919,0.751,0.41383,0.87863,0,8.912e-05,8.912e-05,8.912e-05,0.008912,-0.008912,0.1,0.0410702,0.618175,-9.96162,9.0835
58,961.245,0.87988,0.51046,0.89153,1.97262,0.97422,0.96543,0.98494,0.7652,0.76807,0.40663,0.88292,0,8.714e-05,8.714e-05,8.714e-05,0.008714,-0.008714,0.1,0.0411415,0.623296,-10.0574,9.15715
59,977.693,0.86267,0.51118,0.89458,1.91001,0.97108,0.96747,0.98495,0.77379,0.73482,0.39923,0.87716,0,8.516e-05,8.516e-05,8.516e-05,0.008516,-0.008516,0.1,0.0412055,0.627912,-10.144,9.2239
